subscriber_id,account_id,age,gender,region,country,signup_date,current_plan,signup_channel,device_primary,household_size,churn_status,churn_date,price_increase_flag,is_resub
SUB_000039,ACC_000039,26.0,Male,North America,US,2024-11-15,Basic-Ads,Free Trial,Mobile,4.0,1,2026-03-28,0,0
SUB_000040,ACC_000040,49.0,Female,North America,US,2022-04-10,Premium,Referral,TV,3.0,0,,0,0
SUB_000041,ACC_000040,29.0,Male,Western Europe,UK,2022-05-17,Basic-Ads,Free Trial,Mobile,,0,,0,0
SUB_000042,ACC_000040,42.0,Male,Western Europe,UK,2025-12-06,Basic-Ads,Paid Search,TV,2.0,0,,0,0
SUB_000043,ACC_000041,35.0,Male,North America,US,2025-06-03,Basic-Ads,Organic,Mobile,2.0,1,2026-03-07,0,0
SUB_000044,ACC_000042,61.0,Female,North America,US,2025-10-05,Premium,Paid Search,Mobile,,0,,1,0
SUB_000045,ACC_000043,41.0,Female,North America,US,2023-10-18,Basic-Ads,Organic,TV,1.0,0,,0,0
SUB_000046,ACC_000044,41.0,Female,North America,US,2025-10-11,Standard,Paid Search,Mobile,3.0,0,,0,0
SUB_000047,ACC_000045,43.0,Female,Western Europe,UK,2026-02-18,Basic-Ads,Organic,TV,1.0,0,,0,0
SUB_000048,ACC_000045,44.0,Male,Western Europe,DE,2025-06-21,Basic-Ads,Free Trial,Mobile,2.0,0,,0,0
SUB_000049,ACC_000045,36.0,Female,North America,US,2026-01-09,Basic-Ads,Paid Social,TV,3.0,0,,0,0
SUB_000050,ACC_000046,50.0,Undisclosed,Western Europe,FR,2023-11-03,Standard,Referral,TV,3.0,0,,1,0
SUB_000051,ACC_000047,48.0,Female,North America,US,2025-05-30,Standard,Organic,Mobile,1.0,0,,1,0
SUB_000052,ACC_000048,56.0,Male,Western Europe,UK,2025-03-15,Basic-Ads,Free Trial,Mobile,5.0,1,2026-02-11,0,0
SUB_000053,ACC_000049,23.0,Male,Western Europe,FR,2025-10-27,Basic-Ads,Paid Social,TV,4.0,0,,1,0
SUB_000054,ACC_000050,28.0,Male,North America,CA,2025-01-28,Standard,Paid Search,Web,1.0,1,2025-12-14,1,0
SUB_000055,ACC_000051,26.0,Female,Western Europe,IT,2024-08-02,Basic-Ads,Paid Social,Mobile,3.0,1,2025-07-31,1,0
SUB_000056,ACC_000052,30.0,Male,Western Europe,DE,2024-07-13,Standard,Organic,TV,3.0,1,2025-11-09,1,0
SUB_000057,ACC_000053,52.0,Male,North America,US,2023-06-16,Premium,Paid Search,TV,,0,,1,0
SUB_000058,ACC_000054,61.0,Male,North America,US,2023-01-09,Premium,Paid Social,TV,2.0,1,2025-06-12,1,0
SUB_000059,ACC_000055,65.0,,Western Europe,DE,2023-04-14,Standard,Organic,TV,4.0,0,,0,0
SUB_000060,ACC_000056,67.0,Male,North America,US,2026-02-13,Basic-Ads,Free Trial,TV,1.0,0,,0,0
SUB_000061,ACC_000057,35.0,Male,Western Europe,FR,2024-07-12,Standard,Organic,Web,3.0,1,2025-07-01,0,0
SUB_000062,ACC_000058,68.0,Female,North America,US,2026-02-06,Premium,Organic,,2.0,1,2026-02-21,1,0
SUB_000063,ACC_000059,53.0,Undisclosed,Western Europe,UK,2025-09-27,Standard,Paid Social,TV,1.0,0,,0,0
SUB_000064,ACC_000060,24.0,Male,Western Europe,ES,2026-03-05,Basic-Ads,Organic,Mobile,5.0,0,,1,0
SUB_000065,ACC_000061,51.0,Female,North America,US,2025-01-06,Basic-Ads,Free Trial,Mobile,1.0,1,2025-04-24,1,0
SUB_000066,ACC_000062,30.0,Female,North America,CA,2023-09-30,Basic-Ads,Bundle,Mobile,1.0,1,2026-03-18,0,0
SUB_000067,ACC_000063,66.0,Female,North America,US,2024-08-23,Basic-Ads,Free Trial,Mobile,4.0,0,,0,0
SUB_000068,ACC_000064,36.0,Male,Western Europe,DE,2023-08-04,Standard,Paid Search,Web,2.0,0,,0,0
SUB_000069,ACC_000065,44.0,Male,North America,US,2025-07-20,Premium,Paid Search,Web,2.0,1,2025-12-01,0,0
SUB_000070,ACC_000066,38.0,Undisclosed,North America,US,2025-06-07,Basic-Ads,Bundle,TV,1.0,0,,0,0
SUB_000071,ACC_000067,26.0,Male,North America,US,2024-09-27,Standard,Organic,TV,5.0,1,2026-03-23,0,0
SUB_000072,ACC_000067,62.0,Female,North America,US,2022-12-08,Basic-Ads,Free Trial,Mobile,5.0,0,,0,0
SUB_000073,ACC_000067,53.0,Male,Western Europe,FR,2024-01-02,Premium,Bundle,TV,4.0,0,,0,0
SUB_000074,ACC_000068,25.0,Male,North America,US,2025-09-29,Basic-Ads,Organic,Mobile,3.0,0,,0,0
SUB_000075,ACC_000069,31.0,Female,Western Europe,NL,2024-06-04,Basic-Ads,Organic,TV,1.0,1,2026-01-01,0,0
SUB_000076,ACC_000070,44.0,Female,Western Europe,UK,2024-10-25,Standard,Paid Social,TV,1.0,0,,0,0
SUB_000077,ACC_000071,34.0,Male,North America,US,2024-07-11,Standard,Paid Social,Mobile,3.0,0,,0,0
SUB_000078,ACC_000072,35.0,Male,North America,US,2024-04-20,Basic-Ads,Free Trial,TV,2.0,1,2025-09-06,1,0
SUB_000079,ACC_000073,40.0,Male,Western Europe,UK,2025-04-12,Standard,Paid Search,Web,2.0,0,,0,0
SUB_000080,ACC_000074,22.0,Male,North America,US,2025-08-23,Standard,Paid Search,TV,,1,2025-10-10,1,0
SUB_000081,ACC_000075,34.0,Male,North America,US,2026-02-28,Standard,Paid Social,Mobile,3.0,0,,0,0
SUB_000082,ACC_000076,60.0,Male,North America,US,2026-02-27,Basic-Ads,Paid Search,TV,2.0,0,,0,0
SUB_000083,ACC_000077,,Female,North America,US,2023-11-09,Premium,Referral,Mobile,2.0,0,,0,0
SUB_000084,ACC_000078,25.0,,Western Europe,UK,2022-06-24,Standard,Paid Social,TV,1.0,1,2025-04-24,0,0
SUB_000085,ACC_000079,20.0,Female,Western Europe,UK,2023-05-20,Premium,Organic,Web,2.0,0,,1,0
SUB_000086,ACC_000080,42.0,Female,Western Europe,UK,2024-07-22,Standard,Referral,Mobile,2.0,0,,1,0
SUB_000087,ACC_000081,40.0,Female,North America,US,2023-09-30,Standard,Organic,Mobile,2.0,0,,0,0
SUB_000088,ACC_000082,43.0,Female,Western Europe,DE,2023-12-10,Standard,Bundle,TV,1.0,0,,0,0
SUB_000089,ACC_000083,62.0,Male,Western Europe,DE,2023-07-28,Standard,Free Trial,TV,6.0,1,2025-04-16,0,1
SUB_000090,ACC_000084,39.0,Female,Western Europe,UK,2024-03-03,Basic-Ads,Organic,TV,5.0,0,,0,0
SUB_000091,ACC_000085,69.0,Male,North America,US,2024-12-02,Basic-Ads,Paid Social,Tablet,2.0,1,2026-02-27,0,0
SUB_000092,ACC_000086,66.0,Female,Western Europe,ES,2025-07-10,Basic-Ads,Free Trial,TV,3.0,0,,0,0
SUB_000093,ACC_000087,22.0,Female,Western Europe,UK,2022-06-20,Standard,Paid Social,Web,3.0,0,,0,0
SUB_000094,ACC_000088,47.0,Undisclosed,North America,US,2024-11-07,Standard,Free Trial,TV,,1,2025-07-20,0,0
SUB_000095,ACC_000089,31.0,Female,North America,US,2025-12-11,Basic-Ads,Paid Search,Mobile,3.0,0,,1,0
SUB_000096,ACC_000089,42.0,Female,Western Europe,UK,2026-02-01,Basic-Ads,Free Trial,Mobile,1.0,0,,1,0
SUB_000097,ACC_000089,28.0,Male,Western Europe,FR,2026-02-04,Standard,Free Trial,TV,1.0,0,,0,0
SUB_000098,ACC_000090,23.0,Female,Western Europe,IT,2022-07-16,Basic-Ads,Free Trial,TV,4.0,0,,0,0
SUB_000099,ACC_000091,43.0,Male,North America,US,2026-02-20,Basic-Ads,Organic,TV,5.0,0,,0,1
SUB_000100,ACC_000092,63.0,Male,North America,US,2023-12-15,Basic-Ads,Organic,TV,3.0,0,,0,0
SUB_000101,ACC_000093,32.0,Male,North America,CA,2023-01-22,Standard,Bundle,TV,1.0,0,,0,0
SUB_000102,ACC_000094,35.0,Male,North America,US,2024-12-23,Basic-Ads,Organic,TV,,1,2026-01-18,0,0
SUB_000103,ACC_000095,48.0,Female,North America,CA,2025-12-11,Basic-Ads,Free Trial,Web,,0,,0,0
SUB_000104,ACC_000096,34.0,Male,North America,US,2025-06-17,Premium,Paid Search,TV,3.0,0,,1,0
SUB_000105,ACC_000097,25.0,Male,North America,US,2022-04-03,Premium,Free Trial,TV,3.0,0,,0,0
SUB_000106,ACC_000098,22.0,Female,North America,US,2022-08-21,Standard,Free Trial,TV,3.0,0,,1,0
SUB_000107,ACC_000099,54.0,Male,North America,US,2024-08-30,Basic-Ads,Free Trial,TV,4.0,0,,0,0
SUB_000108,ACC_000100,50.0,Female,North America,CA,2026-02-19,Basic-Ads,Paid Search,Mobile,3.0,1,2026-03-07,0,0
SUB_000109,ACC_000100,25.0,,North America,US,2025-04-23,Standard,Paid Search,TV,1.0,1,2026-02-11,0,0
SUB_000110,ACC_000100,24.0,Female,North America,US,2022-06-30,Premium,Paid Social,Mobile,2.0,1,2026-01-10,1,0
SUB_000111,ACC_000101,21.0,Female,Western Europe,FR,2025-05-23,Standard,Free Trial,TV,,0,,0,0
SUB_000112,ACC_000102,45.0,Male,Western Europe,UK,2026-01-17,Premium,Free Trial,TV,4.0,0,,0,0
SUB_000113,ACC_000103,23.0,Female,Western Europe,UK,2024-05-24,Standard,Paid Search,TV,6.0,0,,0,0
SUB_000114,ACC_000104,40.0,Female,North America,CA,2024-08-06,Basic-Ads,Free Trial,TV,,1,2026-02-03,0,0
SUB_000115,ACC_000105,37.0,Male,Western Europe,UK,2025-07-01,Standard,Paid Search,,4.0,0,,0,0
SUB_000116,ACC_000106,46.0,Female,Western Europe,FR,2023-10-06,Standard,Organic,Mobile,2.0,0,,0,0
SUB_000117,ACC_000107,24.0,Female,Western Europe,UK,2024-09-02,Basic-Ads,Free Trial,TV,2.0,1,2026-01-25,1,1
SUB_000118,ACC_000108,46.0,Male,North America,US,2023-06-11,Premium,Free Trial,,1.0,0,,0,0
SUB_000119,ACC_000109,39.0,Female,North America,US,2026-02-26,Basic-Ads,Free Trial,TV,2.0,0,,0,1
SUB_000120,ACC_000110,29.0,Male,Western Europe,DE,2025-02-28,Standard,Organic,TV,1.0,0,,0,0
SUB_000121,ACC_000111,58.0,Undisclosed,North America,US,2025-08-29,Basic-Ads,Referral,TV,1.0,0,,0,0
SUB_000122,ACC_000112,29.0,Undisclosed,North America,US,2023-07-25,Basic-Ads,Paid Social,TV,2.0,1,2025-12-28,0,0
SUB_000123,ACC_000113,38.0,,North America,US,2024-03-23,Basic-Ads,Paid Social,TV,2.0,0,,1,0
SUB_000124,ACC_000114,30.0,Female,North America,US,2024-01-21,Standard,Referral,Web,2.0,0,,0,0
SUB_000125,ACC_000115,35.0,Male,North America,US,2022-05-08,Premium,Paid Search,TV,6.0,0,,0,0
SUB_000126,ACC_000116,23.0,Male,Western Europe,ES,2022-07-11,Premium,Free Trial,TV,,0,,0,0
SUB_000127,ACC_000117,21.0,Female,Western Europe,UK,2025-10-17,Basic-Ads,Organic,Web,3.0,1,2025-11-12,1,0
SUB_000128,ACC_000118,29.0,Female,North America,US,2026-02-04,Premium,Organic,TV,2.0,0,,0,0
SUB_000129,ACC_000119,62.0,,North America,US,2024-10-04,Standard,Free Trial,Mobile,,1,2025-05-18,1,0
SUB_000130,ACC_000120,33.0,Male,Western Europe,ES,2026-02-09,Basic-Ads,Organic,Mobile,4.0,0,,0,0
SUB_000131,ACC_000121,42.0,Female,North America,US,2026-03-02,Basic-Ads,Free Trial,TV,1.0,0,,1,0
SUB_000132,ACC_000122,24.0,Female,North America,US,2026-01-12,Standard,Free Trial,TV,3.0,1,2026-03-11,0,0
SUB_000133,ACC_000123,35.0,Female,North America,US,2022-11-03,Standard,Organic,,2.0,0,,0,0
SUB_000134,ACC_000124,51.0,Undisclosed,Western Europe,DE,2022-09-25,Standard,Bundle,TV,1.0,0,,0,0
SUB_000135,ACC_000125,51.0,Female,Western Europe,DE,2025-12-15,Basic-Ads,Free Trial,Mobile,,0,,1,0
SUB_000136,ACC_000126,66.0,Female,North America,US,2022-12-03,Premium,Organic,Mobile,2.0,0,,0,0
SUB_000137,ACC_000127,62.0,Female,North America,US,2024-05-14,Basic-Ads,Referral,Mobile,5.0,0,,0,0
SUB_000138,ACC_000128,27.0,Male,North America,US,2022-09-03,Standard,Organic,Web,6.0,0,,0,0
SUB_000139,ACC_000129,37.0,Male,North America,US,2022-05-04,Basic-Ads,Organic,Web,3.0,0,,0,0
SUB_000140,ACC_000130,40.0,Female,Western Europe,ES,2025-01-09,Basic-Ads,Free Trial,TV,2.0,0,,0,1
SUB_000141,ACC_000131,60.0,Male,Western Europe,NL,2025-08-12,Basic-Ads,Organic,Mobile,2.0,0,,0,0
SUB_000142,ACC_000132,63.0,Male,North America,US,2025-09-06,Basic-Ads,Free Trial,TV,5.0,0,,0,0
SUB_000143,ACC_000133,51.0,Female,North America,US,2023-02-20,Standard,Paid Social,TV,2.0,0,,0,0
SUB_000144,ACC_000134,39.0,Male,North America,US,2024-05-12,Standard,Organic,Mobile,,1,2025-08-15,0,0
SUB_000145,ACC_000135,28.0,Female,Western Europe,DE,2026-01-22,Premium,Paid Social,TV,3.0,0,,0,0
SUB_000146,ACC_000136,19.0,Female,North America,CA,2026-02-28,Standard,Organic,TV,2.0,0,,0,0
SUB_000147,ACC_000137,23.0,Non-binary,Western Europe,FR,2023-12-18,Basic-Ads,Free Trial,TV,4.0,1,2025-09-21,1,0
SUB_000148,ACC_000138,19.0,Female,Western Europe,UK,2025-11-18,Standard,Paid Social,Mobile,,0,,0,0
SUB_000149,ACC_000139,,Female,Western Europe,UK,2023-01-11,Basic-Ads,Free Trial,Mobile,1.0,1,2025-07-21,0,0
SUB_000150,ACC_000140,46.0,Male,Western Europe,UK,2025-10-23,Basic-Ads,Organic,TV,5.0,0,,0,0
SUB_000151,ACC_000141,23.0,Female,North America,CA,2025-06-12,Premium,Organic,TV,3.0,0,,0,0
SUB_000152,ACC_000142,58.0,Male,North America,US,2022-06-10,Basic-Ads,Referral,Mobile,1.0,0,,1,0
SUB_000153,ACC_000143,39.0,Undisclosed,Western Europe,IT,2025-01-25,Basic-Ads,Organic,Mobile,3.0,1,2025-09-10,0,0
SUB_000154,ACC_000144,23.0,Male,Western Europe,UK,2025-07-18,Basic-Ads,Free Trial,Web,4.0,0,,0,0
SUB_000155,ACC_000145,45.0,Male,North America,US,2024-07-29,Premium,Organic,TV,3.0,0,,0,0
SUB_000156,ACC_000146,45.0,Non-binary,North America,US,2023-08-06,Basic-Ads,Paid Search,TV,4.0,0,,0,0
SUB_000157,ACC_000147,40.0,Female,North America,US,2025-02-22,Standard,Paid Social,TV,2.0,1,2025-07-29,1,0
SUB_000158,ACC_000148,38.0,Male,North America,US,2024-12-12,Standard,Paid Social,Mobile,2.0,0,,0,0
SUB_000159,ACC_000149,33.0,Male,Western Europe,UK,2024-06-09,Basic-Ads,Paid Social,Web,4.0,1,2025-11-24,0,0
SUB_000160,ACC_000150,46.0,Male,North America,US,2026-01-05,Standard,Paid Social,Mobile,4.0,0,,1,0
SUB_000161,ACC_000151,67.0,Female,North America,US,2025-09-04,Basic-Ads,Paid Social,Mobile,3.0,1,2026-03-12,1,0
SUB_000162,ACC_000152,25.0,Female,Western Europe,NL,2023-03-15,Basic-Ads,Free Trial,Mobile,4.0,0,,0,0
SUB_000163,ACC_000153,57.0,Undisclosed,North America,US,2023-12-29,Premium,Paid Social,Web,2.0,1,2025-05-17,0,1
SUB_000164,ACC_000154,30.0,Male,Western Europe,DE,2025-02-10,Basic-Ads,Paid Search,,2.0,1,2025-05-29,0,0
SUB_000165,ACC_000155,36.0,Female,North America,US,2025-02-10,Basic-Ads,Free Trial,Mobile,3.0,0,,0,0
SUB_000166,ACC_000156,44.0,Female,North America,US,2023-08-29,Standard,Organic,TV,3.0,0,,0,0
SUB_000167,ACC_000157,20.0,Female,Western Europe,ES,2025-10-11,Standard,Paid Search,Mobile,1.0,1,2026-02-23,0,0
SUB_000168,ACC_000158,54.0,Female,North America,US,2023-06-26,Premium,Organic,TV,1.0,0,,0,0
SUB_000169,ACC_000159,20.0,Female,Western Europe,NL,2025-09-18,Standard,Free Trial,Web,5.0,0,,0,0
SUB_000170,ACC_000160,46.0,Female,North America,US,2025-10-06,Basic-Ads,Paid Social,TV,5.0,1,2025-12-26,0,0
SUB_000171,ACC_000161,26.0,Male,North America,US,2025-06-03,Standard,Bundle,Tablet,3.0,0,,0,0
SUB_000172,ACC_000162,54.0,Female,Western Europe,ES,2025-01-31,Standard,Paid Social,TV,,0,,0,0
SUB_000173,ACC_000163,42.0,Undisclosed,Western Europe,FR,2025-03-11,Premium,Free Trial,Mobile,1.0,1,2025-10-25,0,0
SUB_000174,ACC_000164,31.0,Male,Western Europe,NL,2023-08-05,Standard,Organic,Web,,0,,0,0
SUB_000175,ACC_000165,36.0,Male,North America,US,2023-04-16,Basic-Ads,Paid Social,TV,1.0,1,2026-03-25,1,0
SUB_000176,ACC_000166,66.0,Female,North America,US,2025-08-28,Basic-Ads,Free Trial,TV,1.0,1,2025-12-15,0,0
SUB_000177,ACC_000167,24.0,,North America,US,2026-01-30,Basic-Ads,Paid Search,TV,1.0,0,,0,0
SUB_000178,ACC_000168,51.0,Female,North America,US,2024-05-08,Basic-Ads,Free Trial,Web,4.0,1,2025-12-25,0,0
SUB_000179,ACC_000169,27.0,Male,North America,US,2026-02-21,Standard,Paid Search,Tablet,5.0,0,,0,0
SUB_000180,ACC_000170,61.0,Female,Western Europe,FR,2024-06-17,Basic-Ads,Referral,TV,2.0,0,,0,0
SUB_000181,ACC_000171,61.0,Male,Western Europe,FR,2024-05-20,Basic-Ads,Referral,Mobile,,0,,0,0
SUB_000182,ACC_000172,41.0,Female,North America,CA,2024-10-02,Standard,Bundle,Tablet,3.0,0,,0,0
SUB_000183,ACC_000173,31.0,Male,Western Europe,UK,2024-12-14,Standard,Referral,Mobile,5.0,1,2025-08-16,0,0
SUB_000184,ACC_000174,26.0,Female,North America,US,2025-03-25,Standard,Paid Search,Web,2.0,0,,0,0
SUB_000185,ACC_000175,42.0,Non-binary,North America,US,2025-06-04,Premium,Organic,TV,3.0,1,2025-10-13,0,0
SUB_000186,ACC_000176,21.0,Female,North America,US,2023-06-22,Basic-Ads,Free Trial,TV,3.0,1,2025-12-01,0,0
SUB_000187,ACC_000177,22.0,Female,North America,US,2026-01-28,Basic-Ads,Paid Social,TV,1.0,0,,0,0
SUB_000188,ACC_000178,59.0,Male,North America,US,2025-07-04,Basic-Ads,Organic,Mobile,1.0,0,,0,0
SUB_000189,ACC_000179,34.0,Male,North America,US,2023-08-24,Premium,Organic,Mobile,2.0,0,,0,0
SUB_000190,ACC_000180,30.0,Female,North America,CA,2024-03-14,Standard,Paid Search,TV,,0,,0,0
SUB_000191,ACC_000181,30.0,Male,Western Europe,NL,2025-03-05,Premium,Paid Social,Mobile,1.0,0,,0,0
SUB_000192,ACC_000182,56.0,Undisclosed,North America,US,2023-05-19,Standard,Referral,Mobile,1.0,0,,0,0
SUB_000193,ACC_000183,69.0,,North America,US,2025-04-04,Standard,Paid Search,TV,2.0,0,,1,0
SUB_000194,ACC_000184,43.0,Male,North America,US,2024-12-15,Premium,Organic,TV,1.0,0,,0,0
SUB_000195,ACC_000185,67.0,Undisclosed,North America,US,2025-04-28,Basic-Ads,Paid Social,TV,1.0,0,,1,0
SUB_000196,ACC_000186,53.0,Female,Western Europe,UK,2023-05-22,Basic-Ads,Paid Search,TV,4.0,0,,0,0
SUB_000197,ACC_000187,21.0,Male,North America,US,2025-06-27,Standard,Paid Search,Mobile,1.0,1,2025-09-11,1,0
SUB_000198,ACC_000187,21.0,Male,Western Europe,UK,2025-12-23,Premium,Paid Search,TV,3.0,0,,0,0
SUB_000199,ACC_000188,26.0,Male,Western Europe,UK,2025-08-05,Standard,Organic,TV,3.0,0,,1,0
SUB_000200,ACC_000189,22.0,Male,Western Europe,DE,2024-03-22,Standard,Referral,TV,1.0,0,,0,0
SUB_000201,ACC_000190,44.0,Male,North America,US,2025-07-03,Standard,Free Trial,TV,5.0,1,2025-10-19,0,0
SUB_000202,ACC_000191,19.0,Male,North America,CA,2023-12-16,Premium,Organic,TV,4.0,1,2025-09-28,0,0
SUB_000203,ACC_000192,50.0,Male,Western Europe,UK,2025-11-19,Basic-Ads,Bundle,TV,2.0,0,,0,0
SUB_000204,ACC_000193,29.0,Female,North America,US,2024-10-23,Standard,Organic,TV,2.0,0,,0,0
SUB_000205,ACC_000194,58.0,Undisclosed,North America,US,2022-08-27,Basic-Ads,Paid Search,TV,,0,,0,0
SUB_000206,ACC_000195,45.0,Male,North America,US,2024-12-12,Premium,Organic,TV,4.0,0,,0,0
SUB_000207,ACC_000196,31.0,Male,Western Europe,NL,2025-10-20,Basic-Ads,Paid Social,TV,1.0,1,2026-01-25,0,0
SUB_000208,ACC_000197,31.0,Female,North America,US,2024-09-08,Standard,Referral,TV,1.0,0,,0,0
SUB_000209,ACC_000198,52.0,Male,North America,US,2024-06-05,Basic-Ads,Paid Social,TV,3.0,1,2025-11-15,0,1
SUB_000210,ACC_000199,43.0,Female,Western Europe,UK,2022-07-12,Standard,Bundle,Mobile,3.0,0,,0,0
SUB_000211,ACC_000200,33.0,Male,North America,US,2025-05-30,Standard,Paid Social,TV,3.0,1,2026-01-15,0,0
SUB_000212,ACC_000201,45.0,Undisclosed,North America,US,2026-01-03,Basic-Ads,Referral,Mobile,2.0,0,,0,0
SUB_000213,ACC_000202,27.0,Male,North America,US,2024-09-23,Standard,Paid Social,TV,1.0,0,,0,0
SUB_000214,ACC_000203,56.0,Male,North America,US,2025-10-26,Standard,Paid Search,,2.0,0,,0,0
SUB_000215,ACC_000204,18.0,Female,North America,US,2026-03-19,Premium,Paid Social,TV,2.0,0,,1,0
SUB_000216,ACC_000205,50.0,Male,Western Europe,DE,2025-06-18,Basic-Ads,Paid Social,TV,1.0,1,2025-12-27,0,0
SUB_000217,ACC_000206,31.0,Male,North America,US,2023-05-06,Standard,Organic,TV,,0,,0,0
SUB_000218,ACC_000207,65.0,Female,Western Europe,ES,2025-03-22,Standard,Free Trial,Mobile,2.0,0,,0,0
SUB_000219,ACC_000208,53.0,Male,North America,US,2024-06-25,Premium,Organic,TV,3.0,1,2025-06-06,0,0
SUB_000220,ACC_000209,28.0,Male,Western Europe,FR,2025-09-28,Basic-Ads,Paid Social,TV,5.0,1,2026-03-07,1,0
SUB_000221,ACC_000210,42.0,Female,North America,US,2025-11-10,Standard,Paid Social,Mobile,4.0,1,2026-03-02,0,0
SUB_000222,ACC_000211,31.0,Female,North America,US,2024-10-09,Basic-Ads,Paid Social,TV,2.0,0,,0,0
SUB_000223,ACC_000212,19.0,Female,North America,US,2025-10-04,Standard,Paid Search,Mobile,2.0,1,2026-02-11,1,0
