change_id,subscriber_id,change_date,from_plan,to_plan,change_type,reason_code
CHG_000039,SUB_000117,2026-01-25,Basic-Ads,(cancelled),Cancellation,Content
CHG_000040,SUB_000122,2025-12-28,Basic-Ads,(cancelled),Cancellation,Service
CHG_000041,SUB_000127,2025-11-12,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000042,SUB_000129,2025-05-18,Standard,(cancelled),Cancellation,Cost
CHG_000043,SUB_000132,2026-03-11,Standard,(cancelled),Cancellation,Cost
CHG_000044,SUB_000144,2025-08-15,Standard,(cancelled),Cancellation,Cost
CHG_000045,SUB_000147,2025-09-21,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000046,SUB_000149,2025-07-21,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000047,SUB_000153,2025-09-10,Basic-Ads,(cancelled),Cancellation,NoReason
CHG_000048,SUB_000157,2025-07-29,Standard,(cancelled),Cancellation,Technical
CHG_000049,SUB_000159,2025-11-24,Basic-Ads,(cancelled),Cancellation,Content
CHG_000050,SUB_000161,2026-03-12,Basic-Ads,(cancelled),Cancellation,Content
CHG_000051,SUB_000163,2025-05-17,Premium,(cancelled),Cancellation,Cost
CHG_000052,SUB_000164,2025-05-29,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000053,SUB_000167,2026-02-23,Standard,(cancelled),Cancellation,Cost
CHG_000054,SUB_000170,2025-12-26,Basic-Ads,(cancelled),Cancellation,Other
CHG_000055,SUB_000173,2025-10-25,Premium,(cancelled),Cancellation,Cost
CHG_000056,SUB_000175,2026-03-25,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000057,SUB_000176,2025-12-15,Basic-Ads,(cancelled),Cancellation,Service
CHG_000058,SUB_000178,2025-12-25,Basic-Ads,(cancelled),Cancellation,Content
CHG_000059,SUB_000183,2025-08-16,Standard,(cancelled),Cancellation,Cost
CHG_000060,SUB_000185,2025-10-13,Premium,(cancelled),Cancellation,Technical
CHG_000061,SUB_000186,2025-12-01,Basic-Ads,(cancelled),Cancellation,Content
CHG_000062,SUB_000197,2025-09-11,Standard,(cancelled),Cancellation,Cost
CHG_000063,SUB_000201,2025-10-19,Standard,(cancelled),Cancellation,Service
CHG_000064,SUB_000202,2025-09-28,Premium,(cancelled),Cancellation,Cost
CHG_000065,SUB_000207,2026-01-25,Basic-Ads,(cancelled),Cancellation,NoReason
CHG_000066,SUB_000209,2025-11-15,Basic-Ads,(cancelled),Cancellation,Content
CHG_000067,SUB_000211,2026-01-15,Standard,(cancelled),Cancellation,Cost
CHG_000068,SUB_000216,2025-12-27,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000069,SUB_000219,2025-06-06,Premium,(cancelled),Cancellation,Other
CHG_000070,SUB_000220,2026-03-07,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000071,SUB_000221,2026-03-02,Standard,(cancelled),Cancellation,Content
CHG_000072,SUB_000223,2026-02-11,Standard,(cancelled),Cancellation,Cost
CHG_000073,SUB_000225,2025-05-08,Standard,(cancelled),Cancellation,Cost
CHG_000074,SUB_000228,2026-03-05,Standard,(cancelled),Cancellation,Service
CHG_000075,SUB_000235,2025-08-02,Basic-Ads,(cancelled),Cancellation,Content
CHG_000076,SUB_000237,2026-03-10,Standard,(cancelled),Cancellation,Cost
CHG_000077,SUB_000243,2025-11-07,Standard,(cancelled),Cancellation,NoReason
CHG_000078,SUB_000246,2025-10-16,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000079,SUB_000247,2025-07-06,Standard,(cancelled),Cancellation,Service
CHG_000080,SUB_000248,2025-11-12,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000081,SUB_000249,2025-11-20,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000082,SUB_000252,2026-03-27,Premium,(cancelled),Cancellation,Cost
CHG_000083,SUB_000253,2025-11-14,Basic-Ads,(cancelled),Cancellation,Content
CHG_000084,SUB_000254,2026-02-10,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000085,SUB_000255,2026-01-06,Standard,(cancelled),Cancellation,Cost
CHG_000086,SUB_000257,2026-01-08,Basic-Ads,(cancelled),Cancellation,Content
CHG_000087,SUB_000259,2025-06-07,Premium,(cancelled),Cancellation,Technical
CHG_000088,SUB_000261,2025-12-01,Standard,(cancelled),Cancellation,Content
CHG_000089,SUB_000263,2025-07-05,Standard,(cancelled),Cancellation,Cost
CHG_000090,SUB_000266,2025-10-12,Standard,(cancelled),Cancellation,Cost
CHG_000091,SUB_000267,2025-08-06,Premium,(cancelled),Cancellation,Cost
CHG_000092,SUB_000270,2025-12-01,Basic-Ads,(cancelled),Cancellation,Content
CHG_000093,SUB_000274,2025-08-19,Basic-Ads,(cancelled),Cancellation,Other
CHG_000094,SUB_000276,2026-02-14,Basic-Ads,(cancelled),Cancellation,Content
CHG_000095,SUB_000284,2025-06-24,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000096,SUB_000285,2025-05-16,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000097,SUB_000287,2025-09-18,Premium,(cancelled),Cancellation,Technical
CHG_000098,SUB_000293,2025-04-25,Standard,(cancelled),Cancellation,Content
CHG_000099,SUB_000296,2026-02-01,Basic-Ads,(cancelled),Cancellation,Content
CHG_000100,SUB_000299,2025-10-28,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000101,SUB_000303,2025-08-14,Basic-Ads,(cancelled),Cancellation,Content
CHG_000102,SUB_000307,2025-12-21,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000103,SUB_000308,2025-08-26,Standard,(cancelled),Cancellation,Service
CHG_000104,SUB_000311,2026-03-22,Standard,(cancelled),Cancellation,Cost
CHG_000105,SUB_000313,2025-08-13,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000106,SUB_000314,2026-03-18,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000107,SUB_000317,2025-07-07,Premium,(cancelled),Cancellation,Cost
CHG_000108,SUB_000319,2026-01-14,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000109,SUB_000320,2025-08-21,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000110,SUB_000324,2025-12-21,Standard,(cancelled),Cancellation,Service
CHG_000111,SUB_000325,2025-10-25,Basic-Ads,(cancelled),Cancellation,Content
CHG_000112,SUB_000334,2025-11-05,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000113,SUB_000336,2025-09-15,Basic-Ads,(cancelled),Cancellation,Content
CHG_000114,SUB_000337,2026-03-17,Standard,(cancelled),Cancellation,Cost
CHG_000115,SUB_000338,2025-07-07,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000116,SUB_000340,2026-03-12,Basic-Ads,(cancelled),Cancellation,Service
CHG_000117,SUB_000342,2025-12-25,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000118,SUB_000343,2025-11-13,Premium,(cancelled),Cancellation,Cost
CHG_000119,SUB_000345,2025-12-06,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000120,SUB_000348,2025-11-27,Standard,(cancelled),Cancellation,NoReason
CHG_000121,SUB_000352,2025-11-21,Standard,(cancelled),Cancellation,Technical
CHG_000122,SUB_000354,2025-05-26,Premium,(cancelled),Cancellation,Service
CHG_000123,SUB_000357,2026-03-17,Basic-Ads,(cancelled),Cancellation,Other
CHG_000124,SUB_000363,2026-02-09,Premium,(cancelled),Cancellation,Technical
CHG_000125,SUB_000366,2025-05-23,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000126,SUB_000367,2026-02-04,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000127,SUB_000369,2026-03-27,Standard,(cancelled),Cancellation,Content
CHG_000128,SUB_000370,2025-09-20,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000129,SUB_000372,2026-03-17,Premium,(cancelled),Cancellation,Cost
CHG_000130,SUB_000374,2025-12-13,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000131,SUB_000375,2025-08-07,Standard,(cancelled),Cancellation,Service
CHG_000132,SUB_000377,2025-07-09,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000133,SUB_000380,2026-03-02,Basic-Ads,(cancelled),Cancellation,Content
CHG_000134,SUB_000381,2026-02-17,Standard,(cancelled),Cancellation,Cost
CHG_000135,SUB_000384,2026-03-18,Basic-Ads,(cancelled),Cancellation,NoReason
CHG_000136,SUB_000389,2025-12-22,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000137,SUB_000406,2026-03-15,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000138,SUB_000407,2025-12-07,Standard,(cancelled),Cancellation,NoReason
CHG_000139,SUB_000411,2026-03-08,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000140,SUB_000418,2026-03-01,Standard,(cancelled),Cancellation,Other
CHG_000141,SUB_000419,2026-01-01,Standard,(cancelled),Cancellation,Content
CHG_000142,SUB_000423,2025-05-12,Basic-Ads,(cancelled),Cancellation,NoReason
CHG_000143,SUB_000427,2026-03-10,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000144,SUB_000430,2026-03-26,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000145,SUB_000431,2025-12-10,Basic-Ads,(cancelled),Cancellation,Content
CHG_000146,SUB_000433,2025-10-04,Standard,(cancelled),Cancellation,Cost
CHG_000147,SUB_000434,2026-01-02,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000148,SUB_000436,2025-10-30,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000149,SUB_000437,2026-02-17,Basic-Ads,(cancelled),Cancellation,Content
CHG_000150,SUB_000440,2025-11-29,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000151,SUB_000443,2025-09-26,Basic-Ads,(cancelled),Cancellation,Content
CHG_000152,SUB_000444,2026-02-17,Basic-Ads,(cancelled),Cancellation,Content
CHG_000153,SUB_000445,2026-02-19,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000154,SUB_000450,2026-03-18,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000155,SUB_000455,2025-07-12,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000156,SUB_000458,2025-12-17,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000157,SUB_000464,2025-10-27,Standard,(cancelled),Cancellation,Cost
CHG_000158,SUB_000466,2025-10-07,Standard,(cancelled),Cancellation,Cost
CHG_000159,SUB_000468,2026-03-23,Premium,(cancelled),Cancellation,Cost
CHG_000160,SUB_000470,2026-01-28,Basic-Ads,(cancelled),Cancellation,Content
CHG_000161,SUB_000471,2025-08-05,Basic-Ads,(cancelled),Cancellation,Content
CHG_000162,SUB_000478,2025-05-04,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000163,SUB_000482,2026-02-06,Basic-Ads,(cancelled),Cancellation,Content
CHG_000164,SUB_000485,2025-10-15,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000165,SUB_000489,2026-01-20,Standard,(cancelled),Cancellation,Technical
CHG_000166,SUB_000490,2026-03-06,Basic-Ads,(cancelled),Cancellation,Content
CHG_000167,SUB_000493,2025-05-03,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000168,SUB_000503,2026-03-14,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000169,SUB_000506,2026-03-06,Basic-Ads,(cancelled),Cancellation,Content
CHG_000170,SUB_000508,2025-08-22,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000171,SUB_000512,2026-01-11,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000172,SUB_000514,2025-09-05,Basic-Ads,(cancelled),Cancellation,Content
CHG_000173,SUB_000515,2025-08-03,Standard,(cancelled),Cancellation,Cost
CHG_000174,SUB_000519,2026-02-26,Standard,(cancelled),Cancellation,Cost
CHG_000175,SUB_000522,2026-03-13,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000176,SUB_000524,2026-03-04,Standard,(cancelled),Cancellation,Cost
CHG_000177,SUB_000525,2025-12-24,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000178,SUB_000528,2026-02-02,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000179,SUB_000530,2026-03-07,Basic-Ads,(cancelled),Cancellation,Content
CHG_000180,SUB_000542,2026-03-23,Basic-Ads,(cancelled),Cancellation,Other
CHG_000181,SUB_000550,2025-04-22,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000182,SUB_000551,2026-03-19,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000183,SUB_000554,2026-02-11,Standard,(cancelled),Cancellation,Cost
CHG_000184,SUB_000556,2025-12-31,Premium,(cancelled),Cancellation,Service
CHG_000185,SUB_000558,2025-09-12,Basic-Ads,(cancelled),Cancellation,NoReason
CHG_000186,SUB_000560,2025-05-29,Standard,(cancelled),Cancellation,Cost
CHG_000187,SUB_000562,2026-01-15,Standard,(cancelled),Cancellation,Cost
CHG_000188,SUB_000563,2025-12-15,Standard,(cancelled),Cancellation,Content
CHG_000189,SUB_000566,2026-02-17,Basic-Ads,(cancelled),Cancellation,Service
CHG_000190,SUB_000568,2025-05-01,Basic-Ads,(cancelled),Cancellation,Other
CHG_000191,SUB_000569,2025-08-11,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000192,SUB_000574,2026-02-13,Standard,(cancelled),Cancellation,Content
CHG_000193,SUB_000575,2025-07-24,Standard,(cancelled),Cancellation,Cost
CHG_000194,SUB_000577,2025-10-19,Basic-Ads,(cancelled),Cancellation,Content
CHG_000195,SUB_000580,2025-10-17,Basic-Ads,(cancelled),Cancellation,Other
CHG_000196,SUB_000581,2025-10-21,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000197,SUB_000582,2025-04-20,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000198,SUB_000584,2026-01-28,Standard,(cancelled),Cancellation,Technical
CHG_000199,SUB_000586,2026-01-26,Basic-Ads,(cancelled),Cancellation,NoReason
CHG_000200,SUB_000593,2026-01-28,Standard,(cancelled),Cancellation,Cost
CHG_000201,SUB_000597,2025-09-05,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000202,SUB_000598,2026-02-12,Standard,(cancelled),Cancellation,Service
CHG_000203,SUB_000605,2026-03-02,Basic-Ads,(cancelled),Cancellation,Service
CHG_000204,SUB_000607,2026-03-23,Standard,(cancelled),Cancellation,Content
CHG_000205,SUB_000614,2026-03-01,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000206,SUB_000615,2026-03-22,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000207,SUB_000616,2026-01-31,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000208,SUB_000622,2025-05-10,Standard,(cancelled),Cancellation,Content
CHG_000209,SUB_000623,2025-04-25,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000210,SUB_000627,2025-11-08,Premium,(cancelled),Cancellation,Content
CHG_000211,SUB_000628,2026-03-21,Premium,(cancelled),Cancellation,Service
CHG_000212,SUB_000631,2026-03-30,Basic-Ads,(cancelled),Cancellation,Content
CHG_000213,SUB_000633,2025-11-13,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000214,SUB_000636,2026-03-21,Basic-Ads,(cancelled),Cancellation,Content
CHG_000215,SUB_000637,2025-06-05,Standard,(cancelled),Cancellation,Content
CHG_000216,SUB_000640,2026-01-27,Standard,(cancelled),Cancellation,Content
CHG_000217,SUB_000644,2026-01-19,Basic-Ads,(cancelled),Cancellation,Other
CHG_000218,SUB_000648,2026-01-07,Basic-Ads,(cancelled),Cancellation,Other
CHG_000219,SUB_000650,2025-10-22,Basic-Ads,(cancelled),Cancellation,Content
CHG_000220,SUB_000655,2025-08-20,Basic-Ads,(cancelled),Cancellation,Content
CHG_000221,SUB_000659,2026-01-04,Basic-Ads,(cancelled),Cancellation,Service
CHG_000222,SUB_000661,2025-06-05,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000223,SUB_000663,2025-08-05,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000224,SUB_000665,2025-07-06,Standard,(cancelled),Cancellation,Cost
CHG_000225,SUB_000667,2025-08-13,Premium,(cancelled),Cancellation,Cost
CHG_000226,SUB_000670,2026-02-11,Standard,(cancelled),Cancellation,Cost
CHG_000227,SUB_000671,2026-03-18,Premium,(cancelled),Cancellation,Content
CHG_000228,SUB_000672,2026-03-19,Premium,(cancelled),Cancellation,Cost
CHG_000229,SUB_000674,2026-01-14,Standard,(cancelled),Cancellation,Service
CHG_000230,SUB_000676,2025-11-25,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000231,SUB_000685,2025-05-12,Standard,(cancelled),Cancellation,Cost
CHG_000232,SUB_000694,2026-01-27,Basic-Ads,(cancelled),Cancellation,Content
CHG_000233,SUB_000695,2025-09-08,Standard,(cancelled),Cancellation,Service
CHG_000234,SUB_000696,2026-02-11,Basic-Ads,(cancelled),Cancellation,Content
CHG_000235,SUB_000698,2025-11-26,Standard,(cancelled),Cancellation,Cost
CHG_000236,SUB_000705,2025-10-27,Standard,(cancelled),Cancellation,Service
CHG_000237,SUB_000708,2025-09-07,Standard,(cancelled),Cancellation,Cost
CHG_000238,SUB_000709,2026-01-10,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000239,SUB_000710,2026-03-30,Basic-Ads,(cancelled),Cancellation,Content
CHG_000240,SUB_000711,2025-04-07,Premium,(cancelled),Cancellation,Content
CHG_000241,SUB_000712,2026-01-30,Basic-Ads,(cancelled),Cancellation,Service
CHG_000242,SUB_000713,2025-10-17,Premium,(cancelled),Cancellation,Cost
CHG_000243,SUB_000714,2025-07-23,Premium,(cancelled),Cancellation,Other
CHG_000244,SUB_000716,2026-03-20,Premium,(cancelled),Cancellation,Cost
CHG_000245,SUB_000718,2025-07-05,Standard,(cancelled),Cancellation,Cost
CHG_000246,SUB_000720,2026-02-24,Basic-Ads,(cancelled),Cancellation,Content
CHG_000247,SUB_000721,2025-06-05,Standard,(cancelled),Cancellation,NoReason
CHG_000248,SUB_000722,2025-10-31,Basic-Ads,(cancelled),Cancellation,Content
CHG_000249,SUB_000726,2025-08-27,Basic-Ads,(cancelled),Cancellation,Content
CHG_000250,SUB_000727,2026-02-07,Premium,(cancelled),Cancellation,Technical
CHG_000251,SUB_000730,2026-02-19,Basic-Ads,(cancelled),Cancellation,Other
CHG_000252,SUB_000738,2026-02-14,Basic-Ads,(cancelled),Cancellation,Content
CHG_000253,SUB_000739,2026-03-30,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000254,SUB_000740,2025-06-13,Basic-Ads,(cancelled),Cancellation,Content
CHG_000255,SUB_000746,2025-12-12,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000256,SUB_000748,2026-03-15,Standard,(cancelled),Cancellation,Cost
CHG_000257,SUB_000750,2025-09-26,Standard,(cancelled),Cancellation,Technical
CHG_000258,SUB_000752,2025-05-19,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000259,SUB_000753,2026-01-01,Standard,(cancelled),Cancellation,Cost
CHG_000260,SUB_000754,2025-11-06,Basic-Ads,(cancelled),Cancellation,NoReason
CHG_000261,SUB_000756,2025-12-28,Premium,(cancelled),Cancellation,Other
CHG_000262,SUB_000757,2025-11-13,Basic-Ads,(cancelled),Cancellation,Other
CHG_000263,SUB_000758,2026-01-16,Basic-Ads,(cancelled),Cancellation,Service
CHG_000264,SUB_000760,2025-09-29,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000265,SUB_000762,2025-11-18,Standard,(cancelled),Cancellation,Content
CHG_000266,SUB_000764,2025-05-11,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000267,SUB_000767,2026-03-10,Standard,(cancelled),Cancellation,Technical
CHG_000268,SUB_000769,2026-03-30,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000269,SUB_000776,2025-09-19,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000270,SUB_000779,2025-08-11,Basic-Ads,(cancelled),Cancellation,Content
CHG_000271,SUB_000781,2025-11-24,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000272,SUB_000783,2025-11-18,Standard,(cancelled),Cancellation,Cost
CHG_000273,SUB_000787,2025-09-03,Premium,(cancelled),Cancellation,Other
CHG_000274,SUB_000788,2025-11-09,Basic-Ads,(cancelled),Cancellation,Content
CHG_000275,SUB_000790,2025-07-22,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000276,SUB_000791,2026-03-22,Basic-Ads,(cancelled),Cancellation,Service
CHG_000277,SUB_000793,2025-10-07,Basic-Ads,(cancelled),Cancellation,Content
CHG_000278,SUB_000796,2025-08-20,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000279,SUB_000801,2026-02-03,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000280,SUB_000802,2025-12-19,Basic-Ads,(cancelled),Cancellation,Content
CHG_000281,SUB_000810,2026-03-02,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000282,SUB_000814,2025-12-08,Standard,(cancelled),Cancellation,Other
CHG_000283,SUB_000815,2025-10-09,Standard,(cancelled),Cancellation,Technical
CHG_000284,SUB_000816,2026-03-22,Standard,(cancelled),Cancellation,Cost
CHG_000285,SUB_000823,2026-03-13,Standard,(cancelled),Cancellation,Cost
CHG_000286,SUB_000824,2026-03-30,Basic-Ads,(cancelled),Cancellation,Service
CHG_000287,SUB_000826,2026-02-08,Standard,(cancelled),Cancellation,Cost
CHG_000288,SUB_000827,2025-08-25,Premium,(cancelled),Cancellation,Cost
CHG_000289,SUB_000829,2025-09-12,Standard,(cancelled),Cancellation,Content
CHG_000290,SUB_000830,2025-06-27,Standard,(cancelled),Cancellation,Cost
CHG_000291,SUB_000831,2025-06-15,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000292,SUB_000834,2026-01-28,Standard,(cancelled),Cancellation,Content
CHG_000293,SUB_000837,2025-11-26,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000294,SUB_000849,2025-07-02,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000295,SUB_000854,2025-05-20,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000296,SUB_000857,2025-05-17,Standard,(cancelled),Cancellation,Cost
CHG_000297,SUB_000860,2026-01-19,Basic-Ads,(cancelled),Cancellation,Service
CHG_000298,SUB_000863,2025-10-12,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000299,SUB_000866,2026-03-14,Basic-Ads,(cancelled),Cancellation,NoReason
CHG_000300,SUB_000867,2025-10-11,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000301,SUB_000868,2025-08-13,Standard,(cancelled),Cancellation,Cost
CHG_000302,SUB_000869,2025-04-04,Standard,(cancelled),Cancellation,Content
CHG_000303,SUB_000874,2026-02-16,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000304,SUB_000879,2025-05-05,Standard,(cancelled),Cancellation,Cost
CHG_000305,SUB_000880,2025-09-11,Basic-Ads,(cancelled),Cancellation,Other
CHG_000306,SUB_000881,2026-02-08,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000307,SUB_000882,2026-02-04,Premium,(cancelled),Cancellation,NoReason
CHG_000308,SUB_000884,2026-03-11,Premium,(cancelled),Cancellation,Content
CHG_000309,SUB_000885,2025-10-21,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000310,SUB_000888,2025-05-11,Basic-Ads,(cancelled),Cancellation,Content
CHG_000311,SUB_000890,2026-01-04,Basic-Ads,(cancelled),Cancellation,Other
CHG_000312,SUB_000899,2025-12-21,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000313,SUB_000900,2026-01-21,Standard,(cancelled),Cancellation,Cost
CHG_000314,SUB_000904,2025-11-08,Basic-Ads,(cancelled),Cancellation,Content
CHG_000315,SUB_000905,2025-09-08,Standard,(cancelled),Cancellation,Cost
CHG_000316,SUB_000908,2025-08-24,Standard,(cancelled),Cancellation,Cost
CHG_000317,SUB_000909,2026-03-07,Basic-Ads,(cancelled),Cancellation,Other
CHG_000318,SUB_000910,2025-07-16,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000319,SUB_000912,2025-08-12,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000320,SUB_000916,2026-02-06,Basic-Ads,(cancelled),Cancellation,Service
CHG_000321,SUB_000917,2026-03-21,Basic-Ads,(cancelled),Cancellation,Content
CHG_000322,SUB_000919,2025-04-18,Standard,(cancelled),Cancellation,Content
CHG_000323,SUB_000920,2025-07-21,Premium,(cancelled),Cancellation,NoReason
CHG_000324,SUB_000921,2025-12-04,Standard,(cancelled),Cancellation,Content
