ticket_id,subscriber_id,ticket_date,issue_category,resolution_status,resolution_time_hours,csat_score,contact_channel
TKT_000031,SUB_000104,2025-08-04,Streaming Quality,Resolved,6.1,5.0,Chat
TKT_000032,SUB_000109,2025-11-13,Billing,Pending,16.8,3.0,In-App
TKT_000033,SUB_000116,2025-05-29,Billing,Resolved,3.3,4.0,Chat
TKT_000034,SUB_000116,2026-03-21,Billing,Resolved,12.1,5.0,Chat
TKT_000035,SUB_000116,2025-09-13,Billing,Resolved,44.3,,Chat
TKT_000036,SUB_000116,2025-12-02,Billing,Resolved,2.8,4.0,Chat
TKT_000037,SUB_000117,2026-01-12,Content Request,Resolved,4.7,5.0,Phone
TKT_000038,SUB_000117,2026-01-24,Account Access,Resolved,5.9,,Chat
TKT_000039,SUB_000117,2025-09-12,Streaming Quality,Pending,44.6,3.0,In-App
TKT_000040,SUB_000117,2025-07-28,Content Request,Resolved,8.7,5.0,Chat
TKT_000041,SUB_000118,2025-05-04,Streaming Quality,Resolved,0.5,4.0,Chat
TKT_000042,SUB_000118,2025-05-22,Content Request,Resolved,16.6,,Email
TKT_000043,SUB_000119,2026-03-18,Streaming Quality,Resolved,41.1,4.0,Chat
TKT_000044,SUB_000122,2025-05-29,Streaming Quality,Unresolved,9.4,2.0,Chat
TKT_000045,SUB_000124,2025-05-13,Account Access,Resolved,37.8,5.0,Email
TKT_000046,SUB_000124,2025-05-04,Streaming Quality,Resolved,31.6,,Chat
TKT_000047,SUB_000124,2025-07-08,Account Access,Customer-Closed,3.4,,Chat
TKT_000048,SUB_000131,2026-03-21,Content Request,Resolved,35.3,5.0,In-App
TKT_000049,SUB_000143,2025-05-24,Streaming Quality,Resolved,7.6,4.0,Chat
TKT_000050,SUB_000143,2026-02-04,Cancellation Help,Resolved,17.0,,In-App
TKT_000051,SUB_000143,2025-06-08,Content Request,Customer-Closed,14.6,1.0,In-App
TKT_000052,SUB_000143,2026-01-27,Cancellation Help,Resolved,21.5,5.0,Phone
TKT_000053,SUB_000147,2025-06-09,Billing,Customer-Closed,12.7,3.0,Email
TKT_000054,SUB_000148,2026-03-01,Content Request,Resolved,2.8,5.0,In-App
TKT_000055,SUB_000148,2025-12-25,Content Request,Customer-Closed,16.5,,Phone
TKT_000056,SUB_000150,2025-11-15,Content Request,Resolved,37.4,4.0,In-App
TKT_000057,SUB_000161,2025-11-17,Billing,Unresolved,6.5,1.0,In-App
TKT_000058,SUB_000161,2025-11-15,Billing,Pending,11.7,3.0,In-App
TKT_000059,SUB_000161,2025-12-01,Billing,Unresolved,10.2,1.0,In-App
TKT_000060,SUB_000163,2025-04-18,Account Access,Resolved,2.6,4.0,In-App
TKT_000061,SUB_000164,2025-05-09,Streaming Quality,Unresolved,30.8,1.0,In-App
TKT_000062,SUB_000168,2025-09-14,Streaming Quality,Resolved,14.4,3.0,In-App
TKT_000063,SUB_000168,2026-02-03,Content Request,Resolved,23.7,5.0,In-App
TKT_000064,SUB_000173,2025-04-12,Streaming Quality,Unresolved,6.2,1.0,In-App
TKT_000065,SUB_000174,2025-07-06,Content Request,Resolved,5.5,5.0,In-App
TKT_000066,SUB_000175,2025-10-15,Account Access,Resolved,53.9,3.0,In-App
TKT_000067,SUB_000176,2025-12-09,Streaming Quality,Unresolved,9.5,1.0,Email
TKT_000068,SUB_000178,2025-06-29,Streaming Quality,Customer-Closed,5.8,1.0,In-App
TKT_000069,SUB_000178,2025-07-31,Account Access,Resolved,14.1,5.0,In-App
TKT_000070,SUB_000178,2025-06-10,Streaming Quality,Unresolved,2.1,2.0,Chat
TKT_000071,SUB_000192,2025-10-09,Cancellation Help,Resolved,50.9,,Chat
TKT_000072,SUB_000196,2025-06-01,Streaming Quality,Resolved,13.7,5.0,Email
TKT_000073,SUB_000204,2025-11-05,Content Request,Unresolved,6.2,1.0,Chat
TKT_000074,SUB_000216,2025-12-09,Streaming Quality,Resolved,43.7,3.0,Chat
TKT_000075,SUB_000216,2025-09-16,Account Access,Resolved,34.6,4.0,Chat
TKT_000076,SUB_000218,2025-04-12,Streaming Quality,Resolved,56.2,5.0,Email
TKT_000077,SUB_000218,2025-12-23,Streaming Quality,Unresolved,2.6,2.0,In-App
TKT_000078,SUB_000222,2026-03-30,Streaming Quality,Resolved,3.8,,Email
TKT_000079,SUB_000222,2025-07-20,Account Access,Resolved,16.3,,In-App
TKT_000080,SUB_000222,2025-09-16,Streaming Quality,Resolved,6.5,,In-App
TKT_000081,SUB_000225,2025-04-27,Account Access,Customer-Closed,2.9,3.0,In-App
TKT_000082,SUB_000227,2025-12-28,Cancellation Help,Resolved,12.0,3.0,Chat
TKT_000083,SUB_000228,2025-08-17,Streaming Quality,Resolved,49.3,3.0,In-App
TKT_000084,SUB_000230,2026-03-25,Billing,Customer-Closed,51.4,2.0,Chat
TKT_000085,SUB_000233,2026-02-03,Streaming Quality,Resolved,28.9,4.0,In-App
TKT_000086,SUB_000236,2026-03-23,Streaming Quality,Resolved,9.8,4.0,In-App
TKT_000087,SUB_000236,2026-03-18,Streaming Quality,Customer-Closed,3.8,2.0,Phone
TKT_000088,SUB_000239,2026-02-07,Streaming Quality,Resolved,6.9,,Chat
TKT_000089,SUB_000248,2025-05-05,Billing,Resolved,28.4,,Email
TKT_000090,SUB_000257,2025-11-19,Streaming Quality,Pending,77.2,2.0,In-App
TKT_000091,SUB_000257,2025-08-10,Streaming Quality,Unresolved,68.2,2.0,In-App
TKT_000092,SUB_000258,2025-10-29,Account Access,Pending,5.4,,In-App
TKT_000093,SUB_000259,2025-04-17,Billing,Customer-Closed,10.1,,In-App
TKT_000094,SUB_000262,2025-10-04,Account Access,Unresolved,55.2,,In-App
TKT_000095,SUB_000268,2025-10-07,Account Access,Resolved,34.3,,In-App
TKT_000096,SUB_000269,2025-08-17,Account Access,Resolved,14.6,,In-App
TKT_000097,SUB_000271,2026-01-03,Streaming Quality,Resolved,25.9,5.0,Phone
TKT_000098,SUB_000276,2026-01-03,Streaming Quality,Unresolved,17.7,2.0,In-App
TKT_000099,SUB_000278,2025-09-30,Billing,Resolved,9.0,,Phone
TKT_000100,SUB_000285,2025-05-04,Streaming Quality,Unresolved,39.6,2.0,Phone
TKT_000101,SUB_000285,2025-04-18,Billing,Unresolved,12.2,,In-App
TKT_000102,SUB_000285,2025-04-19,Content Request,Unresolved,18.8,3.0,Email
TKT_000103,SUB_000287,2025-05-27,Streaming Quality,Unresolved,51.2,1.0,Phone
TKT_000104,SUB_000293,2025-04-01,Billing,Customer-Closed,8.6,1.0,In-App
TKT_000105,SUB_000300,2026-02-10,Streaming Quality,Resolved,122.2,4.0,In-App
TKT_000106,SUB_000302,2025-09-11,Billing,Resolved,40.9,5.0,Chat
TKT_000107,SUB_000302,2025-10-09,Billing,Resolved,5.2,4.0,Email
TKT_000108,SUB_000307,2025-04-21,Billing,Resolved,6.6,,In-App
TKT_000109,SUB_000313,2025-04-30,Content Request,Resolved,8.7,,Email
TKT_000110,SUB_000313,2025-06-30,Billing,Unresolved,3.7,2.0,In-App
TKT_000111,SUB_000315,2026-03-25,Account Access,Resolved,5.6,5.0,Chat
TKT_000112,SUB_000315,2026-03-25,Content Request,Resolved,3.3,4.0,Chat
TKT_000113,SUB_000319,2025-10-01,Account Access,Resolved,13.9,,In-App
TKT_000114,SUB_000324,2025-12-15,Cancellation Help,Unresolved,2.8,,Email
TKT_000115,SUB_000333,2025-11-11,Billing,Resolved,20.3,,Chat
TKT_000116,SUB_000338,2025-06-12,Account Access,Unresolved,29.3,,Chat
TKT_000117,SUB_000340,2026-01-19,Billing,Unresolved,3.1,,In-App
TKT_000118,SUB_000348,2025-10-25,Streaming Quality,Unresolved,5.7,,Email
TKT_000119,SUB_000349,2025-03-31,Streaming Quality,Resolved,2.5,,In-App
TKT_000120,SUB_000349,2025-12-18,Billing,Resolved,93.6,5.0,In-App
TKT_000121,SUB_000349,2025-12-14,Cancellation Help,Resolved,62.4,5.0,In-App
TKT_000122,SUB_000349,2025-05-10,Billing,Unresolved,64.8,,Chat
TKT_000123,SUB_000351,2026-03-25,Content Request,Resolved,75.2,3.0,Chat
TKT_000124,SUB_000354,2025-04-26,Streaming Quality,Unresolved,2.9,3.0,In-App
TKT_000125,SUB_000362,2025-08-04,Streaming Quality,Resolved,21.8,5.0,In-App
TKT_000126,SUB_000363,2025-11-22,Streaming Quality,Resolved,6.8,,In-App
TKT_000127,SUB_000365,2026-03-27,Streaming Quality,Resolved,45.4,5.0,In-App
TKT_000128,SUB_000365,2026-03-31,Streaming Quality,Customer-Closed,10.3,1.0,Chat
TKT_000129,SUB_000366,2025-05-06,Streaming Quality,Resolved,37.3,,Email
TKT_000130,SUB_000366,2025-05-19,Streaming Quality,Customer-Closed,7.4,,In-App
TKT_000131,SUB_000366,2025-05-13,Content Request,Resolved,1.5,,Chat
TKT_000132,SUB_000374,2025-06-20,Content Request,Resolved,19.8,,In-App
TKT_000133,SUB_000374,2025-08-17,Account Access,Resolved,5.7,3.0,In-App
TKT_000134,SUB_000376,2026-02-28,Streaming Quality,Resolved,11.3,3.0,In-App
TKT_000135,SUB_000377,2025-04-23,Billing,Resolved,17.9,5.0,Chat
TKT_000136,SUB_000384,2026-01-24,Billing,Pending,28.5,,In-App
TKT_000137,SUB_000389,2025-09-24,Account Access,Resolved,3.5,5.0,Chat
TKT_000138,SUB_000395,2025-07-05,Account Access,Resolved,26.7,,Chat
TKT_000139,SUB_000395,2025-08-13,Account Access,Resolved,54.5,5.0,Email
TKT_000140,SUB_000398,2025-08-05,Streaming Quality,Pending,20.3,,Chat
TKT_000141,SUB_000398,2025-12-23,Billing,Resolved,9.8,,In-App
TKT_000142,SUB_000403,2025-11-02,Billing,Resolved,33.1,5.0,Email
TKT_000143,SUB_000406,2026-02-19,Content Request,Resolved,15.8,,In-App
TKT_000144,SUB_000407,2025-07-05,Billing,Unresolved,6.1,1.0,Chat
TKT_000145,SUB_000409,2025-11-25,Account Access,Resolved,11.8,3.0,In-App
TKT_000146,SUB_000411,2026-02-07,Billing,Unresolved,14.1,1.0,Chat
TKT_000147,SUB_000418,2025-06-08,Billing,Unresolved,2.5,,Phone
TKT_000148,SUB_000419,2025-10-05,Streaming Quality,Unresolved,8.8,,Chat
TKT_000149,SUB_000423,2025-05-08,Billing,Unresolved,6.2,3.0,In-App
TKT_000150,SUB_000424,2025-10-30,Billing,Resolved,10.3,,Chat
TKT_000151,SUB_000424,2026-01-05,Billing,Resolved,16.1,5.0,In-App
TKT_000152,SUB_000426,2025-04-20,Cancellation Help,Resolved,17.7,,Chat
TKT_000153,SUB_000428,2026-02-01,Billing,Resolved,31.3,,In-App
TKT_000154,SUB_000429,2025-04-17,Streaming Quality,Unresolved,5.2,2.0,Email
TKT_000155,SUB_000429,2026-01-19,Billing,Resolved,12.9,,Email
TKT_000156,SUB_000429,2025-07-20,Content Request,Resolved,18.5,3.0,In-App
TKT_000157,SUB_000430,2026-03-26,Cancellation Help,Resolved,16.2,5.0,Email
TKT_000158,SUB_000434,2025-10-15,Billing,Resolved,7.0,,Chat
TKT_000159,SUB_000437,2026-02-11,Billing,Pending,13.0,,Chat
TKT_000160,SUB_000443,2025-09-08,Billing,Pending,23.0,1.0,In-App
TKT_000161,SUB_000443,2025-08-25,Cancellation Help,Resolved,22.1,3.0,In-App
TKT_000162,SUB_000450,2025-04-06,Account Access,Resolved,52.7,,In-App
TKT_000163,SUB_000450,2025-11-18,Streaming Quality,Resolved,17.0,,In-App
TKT_000164,SUB_000451,2025-11-05,Billing,Resolved,7.2,4.0,Chat
TKT_000165,SUB_000455,2025-06-27,Billing,Pending,3.2,3.0,In-App
TKT_000166,SUB_000459,2026-02-02,Streaming Quality,Resolved,41.6,5.0,In-App
TKT_000167,SUB_000459,2025-09-26,Account Access,Unresolved,18.2,3.0,Chat
TKT_000168,SUB_000462,2026-02-12,Streaming Quality,Resolved,18.1,,Chat
TKT_000169,SUB_000471,2025-07-17,Billing,Unresolved,4.4,2.0,Phone
TKT_000170,SUB_000475,2026-02-20,Streaming Quality,Resolved,12.3,,Chat
TKT_000171,SUB_000475,2026-01-21,Billing,Resolved,5.9,4.0,In-App
TKT_000172,SUB_000482,2025-09-02,Streaming Quality,Unresolved,9.9,1.0,Email
TKT_000173,SUB_000486,2025-11-12,Billing,Pending,5.6,,Chat
TKT_000174,SUB_000486,2026-03-24,Streaming Quality,Resolved,19.4,3.0,Chat
TKT_000175,SUB_000493,2025-04-15,Billing,Customer-Closed,2.5,2.0,In-App
TKT_000176,SUB_000497,2025-08-06,Streaming Quality,Resolved,11.3,5.0,Chat
TKT_000177,SUB_000500,2026-03-29,Account Access,Customer-Closed,14.5,3.0,Chat
TKT_000178,SUB_000502,2026-01-16,Streaming Quality,Resolved,12.4,,Email
TKT_000179,SUB_000503,2025-05-07,Streaming Quality,Customer-Closed,8.7,1.0,Chat
TKT_000180,SUB_000507,2026-03-06,Content Request,Resolved,13.8,4.0,In-App
TKT_000181,SUB_000509,2025-04-05,Streaming Quality,Unresolved,4.0,1.0,Email
TKT_000182,SUB_000515,2025-07-09,Streaming Quality,Resolved,9.3,,Phone
TKT_000183,SUB_000520,2025-05-09,Billing,Resolved,19.0,,In-App
TKT_000184,SUB_000521,2025-07-18,Billing,Resolved,24.9,5.0,In-App
TKT_000185,SUB_000525,2025-07-11,Billing,Resolved,13.9,,In-App
TKT_000186,SUB_000525,2025-10-03,Streaming Quality,Customer-Closed,50.4,2.0,Chat
TKT_000187,SUB_000525,2025-05-13,Billing,Unresolved,7.5,1.0,Chat
TKT_000188,SUB_000527,2025-05-14,Cancellation Help,Resolved,11.8,5.0,Chat
TKT_000189,SUB_000527,2025-05-03,Streaming Quality,Resolved,3.5,5.0,Email
TKT_000190,SUB_000530,2026-02-16,Billing,Unresolved,5.0,2.0,In-App
TKT_000191,SUB_000530,2026-01-21,Account Access,Unresolved,14.9,2.0,In-App
TKT_000192,SUB_000530,2026-01-31,Cancellation Help,Resolved,54.0,,Email
TKT_000193,SUB_000530,2026-03-03,Content Request,Resolved,8.6,5.0,Phone
TKT_000194,SUB_000538,2025-08-08,Billing,Resolved,8.9,5.0,Chat
TKT_000195,SUB_000546,2025-12-02,Streaming Quality,Resolved,29.3,5.0,Chat
TKT_000196,SUB_000551,2025-05-25,Cancellation Help,Unresolved,40.5,3.0,Chat
TKT_000197,SUB_000551,2025-04-04,Billing,Unresolved,13.3,,In-App
TKT_000198,SUB_000554,2025-09-15,Billing,Resolved,162.1,5.0,Chat
TKT_000199,SUB_000558,2025-08-21,Cancellation Help,Resolved,4.0,5.0,Email
TKT_000200,SUB_000563,2025-04-23,Cancellation Help,Unresolved,32.1,,Email
TKT_000201,SUB_000563,2025-11-13,Streaming Quality,Resolved,29.8,4.0,Chat
TKT_000202,SUB_000564,2025-12-07,Cancellation Help,Resolved,12.1,5.0,In-App
TKT_000203,SUB_000568,2025-04-21,Streaming Quality,Unresolved,4.9,,Phone
TKT_000204,SUB_000577,2025-10-16,Content Request,Pending,11.3,3.0,Email
TKT_000205,SUB_000581,2025-05-30,Account Access,Pending,13.9,1.0,In-App
TKT_000206,SUB_000581,2025-05-05,Billing,Unresolved,60.1,,In-App
TKT_000207,SUB_000581,2025-10-12,Account Access,Unresolved,28.7,1.0,In-App
TKT_000208,SUB_000584,2025-05-07,Billing,Resolved,5.1,5.0,Chat
TKT_000209,SUB_000584,2025-11-03,Cancellation Help,Resolved,4.9,5.0,Email
TKT_000210,SUB_000584,2025-10-02,Billing,Customer-Closed,6.4,,In-App
TKT_000211,SUB_000584,2025-04-11,Billing,Resolved,4.2,3.0,Chat
TKT_000212,SUB_000594,2025-09-04,Account Access,Resolved,3.9,3.0,Chat
TKT_000213,SUB_000597,2025-06-07,Content Request,Unresolved,1.4,1.0,Chat
TKT_000214,SUB_000599,2025-05-07,Streaming Quality,Resolved,23.9,,In-App
TKT_000215,SUB_000605,2026-02-23,Content Request,Unresolved,16.7,,Chat
TKT_000216,SUB_000609,2025-10-28,Account Access,Resolved,29.4,4.0,Chat
TKT_000217,SUB_000614,2025-10-08,Billing,Resolved,4.8,4.0,Email
TKT_000218,SUB_000614,2025-04-07,Account Access,Pending,12.4,1.0,Chat
TKT_000219,SUB_000622,2025-04-01,Account Access,Resolved,46.0,5.0,Email
TKT_000220,SUB_000626,2026-03-16,Streaming Quality,Pending,23.0,2.0,Chat
TKT_000221,SUB_000638,2025-12-06,Billing,Resolved,10.4,,Chat
TKT_000222,SUB_000639,2026-02-01,Streaming Quality,Customer-Closed,46.3,1.0,In-App
TKT_000223,SUB_000644,2026-01-14,Streaming Quality,Customer-Closed,7.2,2.0,Email
TKT_000224,SUB_000650,2025-04-24,Streaming Quality,Resolved,109.5,5.0,Chat
TKT_000225,SUB_000650,2025-09-06,Billing,Resolved,8.7,5.0,In-App
TKT_000226,SUB_000651,2026-03-30,Cancellation Help,Resolved,25.5,,Chat
TKT_000227,SUB_000659,2025-11-14,Billing,Customer-Closed,11.5,3.0,Chat
TKT_000228,SUB_000659,2025-11-01,Cancellation Help,Unresolved,44.3,1.0,Phone
TKT_000229,SUB_000660,2026-02-08,Content Request,Resolved,5.3,,Email
TKT_000230,SUB_000661,2025-04-29,Billing,Customer-Closed,5.8,3.0,Chat
TKT_000231,SUB_000663,2025-06-08,Streaming Quality,Resolved,16.4,4.0,In-App
TKT_000232,SUB_000665,2025-05-08,Content Request,Customer-Closed,56.3,,Chat
TKT_000233,SUB_000667,2025-05-09,Account Access,Resolved,44.6,5.0,Chat
TKT_000234,SUB_000668,2025-05-25,Account Access,Pending,8.7,,Chat
TKT_000235,SUB_000678,2025-05-30,Streaming Quality,Pending,31.0,1.0,In-App
TKT_000236,SUB_000681,2026-02-28,Billing,Unresolved,26.3,1.0,In-App
TKT_000237,SUB_000689,2025-12-29,Streaming Quality,Resolved,3.4,3.0,In-App
TKT_000238,SUB_000689,2026-03-24,Content Request,Resolved,66.8,,Phone
TKT_000239,SUB_000689,2026-02-06,Streaming Quality,Resolved,16.4,4.0,Email
TKT_000240,SUB_000689,2025-11-20,Billing,Resolved,22.5,,In-App
TKT_000241,SUB_000694,2025-12-11,Streaming Quality,Resolved,18.2,5.0,Email
TKT_000242,SUB_000695,2025-08-01,Content Request,Pending,17.4,3.0,Chat
TKT_000243,SUB_000699,2025-07-16,Cancellation Help,Resolved,9.1,,Chat
TKT_000244,SUB_000699,2025-11-08,Account Access,Customer-Closed,3.7,2.0,In-App
TKT_000245,SUB_000699,2026-03-09,Account Access,Resolved,13.6,,In-App
TKT_000246,SUB_000706,2026-01-31,Account Access,Resolved,34.7,5.0,In-App
TKT_000247,SUB_000706,2025-10-06,Billing,Resolved,10.0,,In-App
TKT_000248,SUB_000706,2025-06-06,Streaming Quality,Resolved,13.8,,Chat
TKT_000249,SUB_000706,2025-11-19,Streaming Quality,Resolved,22.2,5.0,Email
TKT_000250,SUB_000710,2026-03-15,Streaming Quality,Unresolved,2.6,1.0,Phone
TKT_000251,SUB_000718,2025-04-15,Cancellation Help,Unresolved,1.4,2.0,Chat
TKT_000252,SUB_000722,2025-07-31,Cancellation Help,Resolved,12.5,4.0,In-App
TKT_000253,SUB_000723,2026-03-25,Cancellation Help,Resolved,11.9,,Phone
TKT_000254,SUB_000723,2026-03-20,Streaming Quality,Resolved,11.7,5.0,In-App
TKT_000255,SUB_000723,2026-03-30,Streaming Quality,Customer-Closed,2.1,1.0,Chat
TKT_000256,SUB_000724,2026-01-29,Content Request,Resolved,13.5,,Phone
TKT_000257,SUB_000724,2025-06-12,Account Access,Resolved,41.7,5.0,In-App
TKT_000258,SUB_000725,2025-09-03,Billing,Resolved,22.0,,Chat
TKT_000259,SUB_000725,2026-02-24,Content Request,Resolved,5.2,3.0,In-App
TKT_000260,SUB_000725,2025-10-09,Cancellation Help,Resolved,36.9,5.0,In-App
TKT_000261,SUB_000727,2025-12-14,Content Request,Resolved,1.7,,In-App
TKT_000262,SUB_000730,2026-02-15,Billing,Resolved,25.1,5.0,In-App
TKT_000263,SUB_000731,2026-02-18,Billing,Resolved,5.1,5.0,Email
TKT_000264,SUB_000734,2025-07-13,Streaming Quality,Resolved,15.5,,In-App
TKT_000265,SUB_000738,2026-01-29,Streaming Quality,Resolved,11.5,5.0,In-App
TKT_000266,SUB_000738,2025-12-16,Cancellation Help,Resolved,68.8,5.0,In-App
TKT_000267,SUB_000739,2026-03-20,Streaming Quality,Unresolved,75.9,1.0,In-App
TKT_000268,SUB_000745,2025-09-24,Billing,Resolved,2.6,,In-App
TKT_000269,SUB_000746,2025-08-05,Content Request,Resolved,2.7,5.0,Phone
TKT_000270,SUB_000746,2025-06-19,Account Access,Resolved,46.5,3.0,In-App
TKT_000271,SUB_000750,2025-07-08,Streaming Quality,Unresolved,26.3,1.0,Chat
TKT_000272,SUB_000754,2025-06-10,Streaming Quality,Unresolved,9.2,,In-App
TKT_000273,SUB_000755,2025-12-11,Cancellation Help,Resolved,19.8,,Email
TKT_000274,SUB_000756,2025-12-03,Account Access,Unresolved,16.5,1.0,In-App
TKT_000275,SUB_000757,2025-07-18,Streaming Quality,Unresolved,19.3,,In-App
TKT_000276,SUB_000763,2025-12-07,Streaming Quality,Resolved,14.9,,Chat
TKT_000277,SUB_000763,2025-05-07,Streaming Quality,Resolved,51.4,5.0,In-App
TKT_000278,SUB_000764,2025-04-29,Streaming Quality,Pending,8.9,1.0,Chat
TKT_000279,SUB_000766,2025-09-11,Billing,Unresolved,16.7,1.0,Email
TKT_000280,SUB_000767,2025-10-24,Cancellation Help,Resolved,15.5,5.0,In-App
TKT_000281,SUB_000775,2025-09-09,Account Access,Resolved,74.7,,Chat
TKT_000282,SUB_000779,2025-07-16,Streaming Quality,Resolved,38.4,,In-App
TKT_000283,SUB_000781,2025-11-06,Billing,Resolved,3.7,,In-App
TKT_000284,SUB_000793,2025-07-01,Cancellation Help,Resolved,16.6,4.0,Email
TKT_000285,SUB_000796,2025-05-11,Billing,Resolved,3.1,4.0,Email
TKT_000286,SUB_000809,2025-11-06,Billing,Pending,8.3,,In-App
TKT_000287,SUB_000810,2025-10-31,Streaming Quality,Unresolved,57.1,3.0,In-App
TKT_000288,SUB_000810,2025-07-21,Streaming Quality,Customer-Closed,35.1,,Phone
TKT_000289,SUB_000810,2025-09-11,Account Access,Unresolved,3.4,1.0,In-App
TKT_000290,SUB_000810,2025-08-22,Content Request,Customer-Closed,11.2,1.0,Chat
TKT_000291,SUB_000818,2025-10-19,Billing,Resolved,25.3,,In-App
TKT_000292,SUB_000818,2026-02-14,Billing,Resolved,10.3,5.0,In-App
TKT_000293,SUB_000821,2026-02-24,Cancellation Help,Resolved,121.2,5.0,In-App
TKT_000294,SUB_000822,2026-03-25,Billing,Resolved,29.2,5.0,In-App
TKT_000295,SUB_000824,2026-03-03,Streaming Quality,Unresolved,2.4,,Chat
TKT_000296,SUB_000829,2025-07-06,Streaming Quality,Unresolved,26.8,1.0,Email
TKT_000297,SUB_000829,2025-07-14,Streaming Quality,Resolved,9.8,5.0,In-App
TKT_000298,SUB_000831,2025-05-03,Streaming Quality,Customer-Closed,40.0,2.0,Chat
TKT_000299,SUB_000834,2025-09-01,Billing,Pending,2.3,1.0,Email
TKT_000300,SUB_000838,2025-12-05,Account Access,Resolved,12.9,4.0,Chat
TKT_000301,SUB_000841,2025-06-28,Billing,Resolved,3.9,5.0,Phone
TKT_000302,SUB_000844,2025-09-12,Account Access,Unresolved,6.3,,In-App
TKT_000303,SUB_000845,2025-10-25,Account Access,Resolved,54.5,,In-App
TKT_000304,SUB_000849,2025-05-17,Billing,Unresolved,4.2,,Email
TKT_000305,SUB_000849,2025-05-07,Account Access,Resolved,13.3,,Phone
TKT_000306,SUB_000854,2025-05-07,Content Request,Resolved,15.4,5.0,In-App
TKT_000307,SUB_000854,2025-04-15,Cancellation Help,Resolved,8.9,5.0,In-App
TKT_000308,SUB_000854,2025-05-06,Content Request,Customer-Closed,11.4,3.0,Chat
TKT_000309,SUB_000854,2025-04-25,Streaming Quality,Resolved,8.6,,Email
TKT_000310,SUB_000857,2025-05-06,Billing,Resolved,7.9,5.0,In-App
TKT_000311,SUB_000858,2026-02-13,Account Access,Resolved,15.5,5.0,In-App
TKT_000312,SUB_000860,2025-12-01,Account Access,Resolved,26.5,5.0,In-App
TKT_000313,SUB_000867,2025-08-28,Streaming Quality,Resolved,8.6,5.0,Chat
TKT_000314,SUB_000868,2025-06-23,Cancellation Help,Unresolved,11.0,,In-App
TKT_000315,SUB_000885,2025-06-20,Billing,Customer-Closed,11.3,,In-App
TKT_000316,SUB_000886,2026-03-21,Billing,Unresolved,5.8,3.0,In-App
TKT_000317,SUB_000888,2025-05-08,Streaming Quality,Unresolved,18.8,,In-App
TKT_000318,SUB_000891,2025-08-25,Content Request,Resolved,20.3,5.0,In-App
TKT_000319,SUB_000891,2025-12-21,Account Access,Resolved,12.8,,Chat
TKT_000320,SUB_000894,2025-05-16,Streaming Quality,Resolved,14.7,,In-App
TKT_000321,SUB_000900,2025-07-13,Cancellation Help,Resolved,12.2,5.0,Chat
