Region,Product_Category,Campaign_Type,Product_Age_Months,Product_Price,Competitor_Price_Index,Advertising_Expenditure,Discount_Percentage,Campaign_Engagement_Score,Inventory_Level,Num_Reviews,Avg_Customer_Rating,Return_Rate,Length_Product_Description,Popularity,Sales
South,Tablet,Email,30,408.29,1.128,347.22,26.94,23.12,810,421,4.13,2.936,293,Low,3207.8
East,Mobile,Social Media,7,800.88,0.983,697.16,30.65,68.48,1083,467,4.21,2.326,295,Very High,38062.01
North,Mobile,Influencer,7,165.83,1.146,668.63,32.47,29.8,1333,214,3.98,2.959,235,Low,21833.7
South,Tablet,Influencer,4,2000.0,1.07,688.48,25.07,49.66,1274,214,3.87,2.823,240,Low,17504.89
South,Mobile,Email,7,1751.05,0.901,512.08,31.56,59.36,1343,48,3.77,2.75,263,High,19886.37
East,Mobile,Email,6,1074.59,0.899,464.85,17.93,38.96,1054,240,3.83,3.008,273,Low,10109.42
West,Mobile,Social Media,5,912.87,0.954,577.32,23.65,40.9,761,101,3.94,2.817,242,Low,19081.11
North,Tablet,Influencer,21,634.39,1.116,685.89,30.49,45.94,806,1018,3.98,1.644,104,High,25120.85
East,Tablet,Email,10,100.38,0.96,533.35,27.09,51.66,930,355,4.09,2.474,335,High,27075.24
East,Tablet,Search Ad,13,714.62,0.849,680.73,33.19,54.1,779,226,3.79,2.622,219,High,32541.69
North,Tablet,Email,10,556.11,0.982,513.91,28.71,37.48,475,277,3.91,3.056,172,Moderate,14323.62
East,Mobile,Search Ad,1,1899.99,0.842,593.25,31.01,53.4,726,5,3.84,2.534,224,Moderate,21459.6
North,Mobile,Social Media,9,353.84,0.916,672.04,25.82,57.77,1112,360,4.11,3.204,255,Very High,34148.94
North,Tablet,Search Ad,3,841.11,0.953,581.35,29.06,48.6,669,113,4.0,2.859,210,Low,25649.2
West,Mobile,Social Media,19,1691.36,1.012,619.02,33.18,38.09,867,367,3.84,2.951,215,High,20913.83
West,Mobile,Search Ad,4,632.46,1.082,555.44,28.67,32.84,837,190,4.01,2.451,228,Very Low,16627.23
West,Mobile,Social Media,3,1908.58,1.056,583.67,29.26,62.35,601,397,3.81,2.381,270,Moderate,22672.05
South,Mobile,Search Ad,12,1010.05,0.906,643.56,33.16,58.67,810,288,3.77,2.352,198,Very High,32472.8
North,Tablet,Influencer,21,902.08,0.97,701.54,39.34,69.71,607,820,3.97,3.711,269,Very High,33691.58
East,Mobile,Email,4,486.71,1.006,606.88,34.75,38.57,659,882,3.77,2.97,162,Moderate,21517.2
South,Mobile,Influencer,9,1597.37,0.979,628.85,23.97,67.12,553,1045,4.08,3.238,372,Very High,27460.81
North,Mobile,Search Ad,7,308.54,0.978,583.67,20.63,40.38,831,208,3.92,2.914,314,Low,14484.45
East,Tablet,Email,6,649.28,0.862,719.96,24.9,65.45,919,521,3.98,3.101,231,Moderate,34458.33
North,Mobile,Social Media,7,1846.54,0.908,534.94,29.75,40.85,1185,205,3.99,2.49,269,Moderate,18960.1
West,Mobile,Email,16,716.82,0.968,744.64,31.12,44.55,456,388,3.87,2.731,176,High,26037.75
South,Tablet,Search Ad,10,268.5,0.78,606.88,31.5,47.32,1206,727,3.85,3.155,283,Very High,29460.09
East,Tablet,Search Ad,15,1109.97,1.051,603.01,38.18,62.0,825,184,3.88,2.426,300,Moderate,30783.41
South,Mobile,Email,12,1064.96,0.89,677.7,30.19,47.65,533,286,3.81,2.481,265,Moderate,25858.72
East,Mobile,Search Ad,17,270.57,1.055,433.57,29.42,41.4,743,496,3.89,3.213,304,Low,16126.6
East,Mobile,Influencer,3,572.02,1.048,766.01,31.12,60.25,316,95,4.04,2.417,248,Low,33165.61
North,Mobile,Influencer,9,818.94,0.957,809.63,34.94,71.86,390,708,3.86,2.792,242,High,40000.0
West,Mobile,Search Ad,5,818.03,1.08,698.03,34.16,53.22,1359,206,3.92,2.413,207,High,34387.17
West,Mobile,Influencer,8,1736.43,1.059,513.02,29.78,43.39,657,355,4.07,2.849,282,Moderate,18657.46
West,Mobile,Search Ad,12,1005.2,0.975,676.25,27.1,52.83,1016,841,4.16,2.377,196,Very High,31957.48
West,Mobile,Social Media,6,1215.36,0.966,766.42,23.53,61.2,828,388,3.92,3.279,274,High,34056.42
East,Tablet,Influencer,23,214.42,1.088,771.14,31.11,96.12,745,924,4.42,2.838,267,Very High,40000.0
West,Tablet,Social Media,12,500.7,1.019,506.37,28.78,41.06,847,204,3.8,3.254,331,Moderate,19556.77
North,Mobile,Social Media,10,813.35,1.084,707.2,35.97,49.14,256,350,3.94,3.253,284,Very High,31338.15
North,Mobile,Social Media,7,555.79,0.809,763.87,35.02,65.97,1242,357,3.87,2.568,139,High,37895.79
North,Mobile,Influencer,8,241.9,1.008,650.68,33.84,48.01,831,463,4.03,2.987,207,High,29815.38
South,Tablet,Influencer,4,854.48,0.874,545.58,20.35,38.46,594,123,4.25,2.23,205,Low,21328.14
South,Mobile,Social Media,1,213.85,0.998,679.0,27.2,37.65,996,351,4.16,3.11,203,Moderate,29056.71
South,Mobile,Social Media,8,1260.09,1.057,720.03,34.14,50.05,651,100,4.04,2.365,308,High,31079.12
West,Mobile,Social Media,2,1229.09,1.139,623.9,30.49,45.02,920,5,3.84,3.034,111,Low,20607.0
South,Tablet,Search Ad,24,1839.87,0.925,538.22,26.68,28.17,692,425,3.9,2.704,336,Moderate,11638.5
South,Tablet,Social Media,10,161.06,0.958,690.09,32.52,55.07,946,417,4.12,3.36,310,High,32529.25
East,Mobile,Search Ad,5,1092.71,0.992,555.53,25.96,14.67,798,908,4.04,2.876,260,High,18429.9
North,Mobile,Social Media,4,1020.31,0.922,662.23,17.76,59.33,561,344,4.0,2.471,270,High,27801.11
West,Tablet,Social Media,10,81.75,1.078,734.45,27.9,51.78,845,411,4.0,2.892,253,Very High,33995.34
North,Mobile,Email,16,1659.71,0.994,481.81,29.69,33.83,782,220,4.04,2.507,258,Moderate,16584.09
West,Tablet,Social Media,36,1685.96,1.01,717.71,42.0,69.85,212,438,4.19,2.52,318,Very High,36869.2
West,Tablet,Influencer,26,521.24,1.05,637.94,33.63,65.12,797,614,3.86,2.865,234,Very High,32362.22
North,Mobile,Social Media,2,553.4,0.994,605.72,26.83,44.74,704,135,3.96,2.834,285,Low,22437.75
North,Mobile,Email,8,620.66,0.935,632.8,28.46,51.48,960,479,4.06,2.597,194,Moderate,26762.92
West,Mobile,Social Media,12,564.29,0.995,558.7,29.12,71.59,612,218,3.94,2.454,281,Very High,32894.27
East,Mobile,Social Media,9,762.72,0.932,530.78,40.71,40.29,510,264,4.09,2.382,231,Moderate,29529.37
West,Tablet,Email,3,1634.38,1.009,471.22,30.42,48.68,1082,411,3.94,2.873,275,High,16843.31
West,Tablet,Social Media,36,2000.0,1.08,750.54,28.44,45.43,985,890,4.18,2.296,194,Very High,25528.49
North,Mobile,Search Ad,9,596.67,0.906,576.39,28.4,62.33,858,267,3.95,2.881,276,Moderate,24039.93
South,Mobile,Search Ad,12,1629.56,0.877,674.45,30.04,42.67,987,169,3.96,2.886,245,Moderate,22351.66
North,Tablet,Social Media,20,1263.8,1.004,597.0,24.56,42.15,975,1089,4.07,3.138,345,Very High,21441.72
West,Tablet,Social Media,11,128.36,0.939,517.88,16.57,61.04,737,573,4.22,2.828,264,Very High,31828.54
East,Tablet,Influencer,8,592.11,1.003,708.21,30.92,72.07,390,597,4.14,2.438,279,Very High,40000.0
South,Mobile,Social Media,7,990.09,1.026,656.02,25.24,45.92,947,115,3.87,1.932,221,Low,20189.85
North,Mobile,Social Media,7,1567.97,0.829,623.54,35.5,57.82,1151,199,3.94,2.362,267,High,29872.8
South,Tablet,Social Media,15,514.99,1.055,643.48,28.74,45.93,912,240,3.91,2.878,277,Low,22976.3
South,Tablet,Social Media,32,189.79,0.906,535.34,26.89,29.07,757,456,3.93,3.376,226,Moderate,17189.87
West,Mobile,Search Ad,13,678.33,0.998,692.77,18.26,51.91,1024,266,3.85,3.388,221,Moderate,20264.78
East,Mobile,Social Media,25,524.97,0.947,722.94,38.61,56.87,795,441,3.99,2.86,198,High,37401.79
West,Mobile,Search Ad,4,669.28,0.956,668.47,30.19,39.4,1163,1732,4.27,2.808,243,Very High,35475.96
East,Mobile,Email,30,1129.79,1.136,573.1,33.66,61.34,1251,474,4.17,2.282,208,Very High,26687.54
North,Mobile,Social Media,27,387.33,1.026,621.27,25.41,41.38,484,699,3.8,2.871,266,Moderate,20965.35
East,Tablet,Search Ad,18,441.85,1.072,728.23,37.24,58.23,1064,913,3.85,3.17,199,High,29720.88
West,Mobile,Social Media,6,624.78,1.012,724.24,23.76,71.44,1509,191,3.93,2.481,240,Moderate,28955.82
East,Tablet,Search Ad,10,118.43,1.05,755.11,23.46,50.38,892,204,3.74,3.031,189,High,29638.86
West,Mobile,Social Media,14,1316.84,1.033,574.53,33.37,43.81,1145,206,3.78,2.88,319,High,21952.47
East,Tablet,Search Ad,6,440.91,1.02,533.08,31.83,49.93,552,711,4.05,2.7,250,Very High,27452.47
East,Tablet,Email,26,1259.98,1.089,616.47,32.6,51.95,594,579,4.0,2.939,249,High,26756.83
South,Mobile,Influencer,3,780.58,1.013,692.72,24.87,71.69,799,244,3.8,2.65,285,Very High,30708.12
North,Mobile,Email,14,698.44,1.183,581.98,32.49,68.77,743,689,4.2,2.494,358,Very High,32473.53
North,Mobile,Influencer,6,1950.89,1.077,654.74,36.1,55.79,480,108,3.9,2.755,253,Moderate,26438.91
North,Mobile,Social Media,3,756.73,0.909,726.04,34.19,62.95,810,153,3.92,2.543,156,High,39027.97
East,Tablet,Search Ad,36,1491.12,0.986,618.55,26.1,31.8,983,627,4.08,3.037,321,Very High,17531.78
South,Tablet,Social Media,5,517.2,1.032,522.16,27.97,58.15,363,537,4.06,2.046,164,High,25478.68
East,Mobile,Influencer,19,1892.27,1.004,596.65,24.25,58.19,912,272,3.97,3.12,217,High,19909.69
West,Mobile,Email,27,1025.48,1.055,620.33,39.78,45.89,903,350,3.9,2.599,322,High,27375.26
South,Mobile,Email,7,1544.45,1.064,820.0,33.87,47.51,773,224,4.02,2.958,227,Moderate,34639.79
South,Tablet,Social Media,16,2000.0,0.891,573.92,24.77,46.39,884,192,3.89,2.797,213,Moderate,17245.47
West,Mobile,Email,16,1987.52,1.102,596.54,41.05,50.57,977,538,3.96,2.976,265,High,25532.95
South,Mobile,Email,1,1683.66,0.96,807.42,29.86,41.29,752,213,3.79,2.756,249,Moderate,30634.64
North,Mobile,Influencer,4,617.0,0.952,617.83,29.85,54.33,1168,289,4.11,2.656,205,Moderate,29167.05
South,Tablet,Influencer,8,1425.38,0.952,710.8,27.04,61.93,903,632,4.22,2.88,302,Very High,37007.27
North,Mobile,Social Media,5,56.94,1.065,759.33,28.36,40.26,1316,469,3.98,3.198,324,High,26205.11
West,Tablet,Influencer,31,1115.78,0.979,591.43,30.17,43.56,721,457,3.91,3.179,334,Very High,27038.86
West,Mobile,Search Ad,16,529.7,0.947,579.91,27.17,38.28,767,385,4.06,2.731,282,Low,20692.17
East,Mobile,Social Media,5,1810.44,0.966,609.08,35.05,75.77,800,129,4.08,2.338,205,High,38195.09
West,Tablet,Search Ad,15,785.7,0.856,488.85,26.74,31.85,1082,674,3.91,2.589,170,Moderate,15668.31
West,Tablet,Search Ad,3,1954.07,0.933,761.54,24.41,53.54,697,351,4.12,2.877,104,High,33640.55
North,Mobile,Influencer,20,353.21,0.901,603.94,27.95,43.64,835,459,3.91,2.779,312,Moderate,24456.5
West,Mobile,Social Media,3,662.91,0.978,552.48,35.66,42.91,1429,562,3.82,3.054,260,High,18905.35
East,Mobile,Search Ad,3,1689.23,1.053,594.61,36.7,31.46,470,144,3.89,2.599,222,Moderate,23937.04
West,Mobile,Email,9,530.73,1.044,663.98,27.65,55.5,963,604,4.14,2.101,128,Moderate,32069.4
West,Mobile,Email,1,307.86,1.101,593.8,33.81,28.12,842,61,3.89,3.3,175,Moderate,17794.22
South,Mobile,Email,3,924.63,1.083,535.01,31.58,53.87,787,116,3.81,2.538,139,High,22131.25
North,Mobile,Influencer,18,1079.81,0.958,699.49,27.02,67.29,584,571,3.99,2.457,337,High,31847.97
South,Tablet,Influencer,5,562.17,1.002,720.38,25.02,60.6,547,134,4.11,2.354,287,High,34654.89
South,Mobile,Search Ad,7,694.0,0.997,606.37,36.13,62.78,742,446,4.04,2.662,167,High,29810.93
West,Tablet,Search Ad,14,1893.05,0.828,615.87,39.43,92.26,884,488,4.09,2.451,349,Very High,39695.52
West,Mobile,Social Media,13,863.46,0.903,708.27,31.94,65.18,1107,500,4.01,2.78,203,Very High,38511.28
North,Tablet,Email,5,1646.34,0.987,599.88,24.57,28.47,224,497,4.06,2.962,270,Low,17722.65
East,Tablet,Social Media,7,179.73,0.986,740.61,24.14,77.6,392,325,4.16,3.228,270,Very High,40000.0
South,Tablet,Social Media,9,1074.62,1.041,571.03,24.31,53.08,899,785,3.86,3.38,242,Moderate,19494.04
South,Tablet,Search Ad,22,1196.67,1.037,556.85,27.38,73.33,923,460,4.15,3.263,229,Very High,27310.22
North,Tablet,Search Ad,16,1388.17,0.858,551.24,25.8,38.61,316,351,4.0,2.548,250,Low,15247.73
South,Mobile,Email,7,1989.38,1.041,602.66,28.86,61.03,1114,243,4.17,2.128,231,Moderate,25074.63
West,Mobile,Email,1,1311.72,1.014,607.06,28.78,44.53,856,653,3.98,2.563,263,Moderate,21797.55
South,Mobile,Email,4,486.79,1.05,482.66,27.98,73.25,1077,166,4.14,2.593,266,Very High,25832.04
East,Tablet,Social Media,3,397.36,1.085,624.48,25.43,49.72,493,409,4.03,3.908,215,High,20934.88
East,Tablet,Influencer,11,431.88,0.989,697.73,29.28,99.0,337,250,3.95,3.054,316,Very High,40000.0
South,Mobile,Search Ad,3,1634.8,1.1,511.73,29.89,50.27,770,23,4.05,2.712,196,Moderate,20240.96
West,Mobile,Influencer,3,1134.22,0.929,626.26,27.71,69.11,783,857,4.17,2.293,272,Very High,38161.37
West,Mobile,Social Media,20,1915.2,0.924,695.53,30.72,80.16,767,239,3.95,2.564,227,Very High,35446.75
South,Tablet,Social Media,15,36.46,1.034,521.65,33.92,40.89,627,545,4.0,2.725,194,Moderate,19655.33
East,Mobile,Email,17,821.71,0.97,570.8,28.6,55.45,1351,399,4.24,1.97,231,High,28323.06
South,Mobile,Influencer,9,1460.14,1.021,762.18,32.6,61.78,367,576,3.97,3.147,207,High,30580.17
South,Mobile,Search Ad,6,1431.31,1.159,768.1,27.84,57.48,615,447,4.09,2.96,289,High,34961.72
North,Mobile,Email,4,1315.95,1.031,642.14,30.47,47.67,739,51,3.8,2.661,242,Low,19255.64
East,Tablet,Search Ad,24,2000.0,1.017,623.46,33.55,58.05,747,425,3.93,3.071,333,High,23492.99
East,Tablet,Social Media,5,522.18,0.93,579.38,32.82,60.31,946,108,4.06,2.151,189,Moderate,32720.08
North,Tablet,Search Ad,15,296.56,0.864,672.38,24.28,42.74,991,377,3.98,3.103,112,Moderate,25644.6
South,Mobile,Influencer,2,191.46,0.994,737.88,19.79,62.53,1172,401,3.98,3.225,272,Moderate,33067.51
West,Tablet,Search Ad,13,90.22,1.085,502.47,24.42,12.26,880,270,4.07,3.544,355,Low,9907.18
South,Mobile,Search Ad,5,919.3,0.974,686.06,33.72,66.35,358,565,3.92,2.775,278,High,32794.37
North,Tablet,Email,9,134.41,1.032,532.39,35.53,65.09,257,163,3.97,3.362,190,Very High,29597.3
East,Mobile,Email,11,559.03,1.114,521.53,36.65,45.37,1193,182,4.0,2.486,185,Low,14998.42
West,Mobile,Email,12,1598.7,1.112,600.88,26.35,22.7,1174,112,3.77,2.903,374,Low,9953.49
South,Tablet,Email,4,1159.15,1.034,682.83,31.22,58.29,924,100,4.02,3.079,224,High,28959.43
East,Tablet,Search Ad,23,1248.86,1.014,645.23,25.92,39.52,502,412,4.08,2.028,185,High,25215.98
West,Mobile,Search Ad,6,939.92,0.879,636.26,27.33,51.81,766,144,3.93,3.097,322,Low,24079.24
South,Tablet,Email,19,423.62,0.95,615.51,27.86,53.57,624,1872,4.08,3.021,239,Very High,29808.94
West,Mobile,Influencer,6,107.95,0.978,682.79,27.86,67.79,563,2277,4.21,2.511,122,Very High,39079.08
South,Mobile,Email,9,1222.7,0.932,595.77,29.95,58.41,935,273,3.66,2.795,377,Moderate,23356.28
East,Mobile,Social Media,18,780.54,1.02,675.72,28.23,58.37,1485,491,4.13,3.011,284,High,34998.72
East,Mobile,Social Media,8,294.32,1.153,561.7,34.24,55.28,716,868,4.08,2.925,154,Very High,25734.01
East,Mobile,Social Media,8,978.37,1.121,681.6,29.3,66.61,1236,467,4.0,2.755,335,High,30843.43
North,Mobile,Social Media,1,643.96,1.02,690.73,34.45,57.96,603,103,3.76,2.253,183,Low,29995.26
West,Mobile,Social Media,10,1308.4,1.062,692.72,25.5,47.53,414,520,4.12,1.927,179,High,28003.23
South,Tablet,Social Media,5,888.93,0.942,687.64,28.48,62.95,1026,174,3.93,2.322,193,High,33124.49
North,Mobile,Influencer,7,780.23,1.117,697.35,25.63,46.04,797,282,4.02,2.99,368,High,25747.31
North,Tablet,Email,33,881.75,0.875,691.27,28.27,47.13,1109,649,4.0,2.632,375,Very High,26691.59
East,Mobile,Email,5,1736.18,1.073,434.47,28.83,18.87,1287,373,3.7,3.245,214,Very Low,2500.0
East,Tablet,Email,7,1996.04,1.04,690.21,35.36,42.91,659,90,4.07,3.006,354,High,22858.97
North,Mobile,Search Ad,1,1203.38,0.94,777.51,34.72,51.2,1249,5,4.06,2.343,106,Moderate,34672.88
East,Mobile,Email,17,526.74,0.983,539.84,35.43,30.58,606,807,4.07,3.149,305,Very High,24143.36
South,Mobile,Influencer,6,913.46,0.909,604.4,29.25,71.85,601,603,4.09,2.396,333,High,30495.62
East,Mobile,Search Ad,10,1177.85,0.913,721.82,30.74,67.48,1171,287,3.86,3.098,341,High,31804.92
North,Mobile,Search Ad,13,1769.02,0.873,557.78,36.67,65.61,411,420,4.12,2.902,253,High,24856.64
East,Tablet,Search Ad,31,1366.15,1.061,569.72,38.09,47.02,740,688,4.27,2.484,283,Very High,29507.72
South,Tablet,Email,24,791.78,1.096,609.02,33.41,40.28,1102,509,3.98,2.687,204,Moderate,20826.22
West,Tablet,Email,6,777.34,0.827,531.19,35.01,53.31,1122,195,3.97,2.783,250,Very High,31347.0
North,Tablet,Social Media,21,827.76,1.147,696.21,36.85,61.48,615,476,3.88,2.774,238,Very High,30573.5
South,Mobile,Search Ad,15,1447.96,0.999,561.59,31.91,48.97,1153,983,3.79,2.66,234,Very High,19514.18
North,Mobile,Social Media,6,1969.66,1.023,680.18,26.79,23.2,534,541,3.88,2.567,318,High,18027.45
West,Mobile,Email,2,595.54,0.882,613.86,25.61,53.79,666,239,4.14,2.418,261,High,34056.49
West,Mobile,Influencer,8,913.98,1.106,796.22,30.26,74.57,927,208,4.17,2.957,353,Very High,40000.0
South,Mobile,Email,2,493.87,1.016,682.09,30.64,48.36,970,681,4.0,2.094,263,Moderate,26228.18
East,Mobile,Influencer,5,239.98,1.091,605.92,32.58,69.15,556,385,4.07,2.927,384,Very High,35848.45
West,Mobile,Search Ad,9,1430.86,1.098,523.32,24.9,51.5,1400,213,3.81,2.669,324,Low,12264.1
East,Mobile,Social Media,1,900.52,1.107,694.85,20.95,46.24,316,85,3.94,2.612,243,Moderate,22762.84
East,Tablet,Email,6,1684.18,0.948,562.78,22.82,38.02,756,422,3.88,2.838,259,High,18532.84
South,Tablet,Email,16,1691.36,0.983,588.36,27.34,30.19,797,259,3.91,2.241,196,Low,16434.93
North,Mobile,Search Ad,13,1950.23,0.951,551.12,36.32,67.14,353,377,3.98,3.023,258,Very High,24662.92
West,Tablet,Search Ad,11,1789.91,1.072,686.7,29.58,65.05,1124,328,3.97,2.981,187,High,30606.71
West,Tablet,Search Ad,16,1286.45,1.027,569.58,30.65,36.79,525,489,4.07,2.837,330,High,25053.11
East,Mobile,Influencer,5,1746.68,1.086,678.62,33.49,70.12,889,236,4.24,2.409,227,High,36459.49
South,Mobile,Search Ad,11,202.01,1.089,595.88,24.36,50.42,955,451,3.96,2.92,270,High,21424.17
South,Mobile,Email,3,1807.02,0.862,632.44,35.84,38.74,438,20,4.07,2.487,107,High,26476.74
West,Tablet,Social Media,6,1013.68,1.108,683.23,26.76,58.01,429,338,3.84,2.783,231,Very High,31447.17
West,Tablet,Influencer,4,718.42,1.076,639.38,37.52,72.6,1193,148,3.99,2.89,225,High,38516.54
West,Mobile,Social Media,2,1049.08,0.97,571.77,27.73,63.87,841,123,3.82,2.748,305,High,23136.76
West,Mobile,Email,2,1039.58,1.028,452.11,26.67,67.29,78,185,3.95,2.811,280,Moderate,20542.81
East,Mobile,Search Ad,2,1641.31,0.99,637.32,22.81,49.45,772,309,4.05,2.463,311,Moderate,25289.26
North,Mobile,Social Media,6,649.38,1.049,609.73,30.07,50.93,850,492,4.12,2.666,275,High,24578.4
North,Mobile,Influencer,5,1865.05,0.97,627.19,40.17,68.94,924,362,3.92,2.619,324,High,32690.0
West,Tablet,Search Ad,32,565.57,1.038,610.45,34.33,47.86,160,452,4.03,2.723,274,High,31517.41
East,Tablet,Email,13,1336.2,1.005,675.88,30.19,40.42,732,253,4.08,1.976,163,High,29859.54
North,Tablet,Influencer,9,662.13,0.965,746.52,24.79,50.66,499,240,4.09,2.757,242,High,33863.34
North,Tablet,Social Media,13,1858.86,1.015,526.08,31.8,6.18,804,258,3.88,2.923,246,Very Low,5144.43
East,Tablet,Social Media,20,947.74,1.217,599.98,33.39,64.06,887,571,3.96,2.863,46,Very High,26587.32
North,Mobile,Social Media,9,335.43,0.945,692.26,26.31,35.38,976,208,3.83,2.923,185,Low,20734.64
North,Mobile,Email,6,34.98,0.98,706.45,28.55,37.51,1267,307,3.83,3.02,375,Moderate,23386.86
East,Mobile,Social Media,9,331.83,0.947,549.92,17.54,51.62,1495,753,4.02,2.832,231,High,22235.95
East,Tablet,Email,10,1557.33,0.955,722.53,27.8,45.28,411,448,3.87,2.856,241,High,27811.32
East,Mobile,Social Media,6,1436.3,1.065,531.59,25.59,77.19,749,394,4.12,2.796,113,Very High,25969.58
South,Tablet,Social Media,5,140.03,1.057,702.94,27.04,37.74,955,629,4.0,2.906,164,Moderate,26705.88
East,Mobile,Search Ad,10,379.08,1.0,578.8,23.18,74.8,823,303,4.05,3.575,278,High,28568.91
South,Mobile,Influencer,6,522.21,1.082,779.51,28.3,83.11,70,511,3.85,3.211,219,Very High,33572.05
South,Mobile,Email,4,1331.66,1.063,570.17,24.55,53.51,804,25,3.94,2.74,179,High,22918.45
West,Mobile,Social Media,3,359.4,0.987,591.12,31.12,72.19,1218,92,3.94,3.322,328,High,31454.95
East,Tablet,Social Media,12,718.6,0.877,613.14,25.27,58.09,336,297,4.24,1.894,205,High,33320.14
West,Tablet,Email,36,878.56,1.066,474.36,32.36,17.42,804,533,3.75,2.64,167,High,13267.05
East,Mobile,Search Ad,24,616.25,1.014,465.56,39.97,51.99,307,533,3.97,2.233,251,High,25312.11
East,Mobile,Search Ad,8,523.5,1.002,645.33,32.28,31.99,1112,193,3.95,2.367,197,High,27773.66
North,Mobile,Email,4,886.73,0.963,676.59,18.55,37.93,930,1127,3.91,2.893,197,High,22512.57
South,Mobile,Social Media,1,981.17,1.06,678.19,37.61,58.19,695,505,4.24,2.747,244,Very High,36701.25
South,Mobile,Email,3,1260.36,1.028,505.41,36.78,30.36,739,1129,4.25,2.754,208,High,20948.58
South,Tablet,Search Ad,24,138.66,0.981,634.47,35.59,63.97,305,790,3.95,3.27,145,Very High,30403.45
West,Mobile,Email,9,1916.56,0.902,540.95,32.96,39.95,1152,913,3.94,2.875,283,High,21501.25
South,Mobile,Influencer,5,850.2,1.085,694.32,25.89,65.97,628,229,4.25,1.919,302,Very High,37303.22
West,Mobile,Search Ad,24,1883.23,1.048,724.93,32.07,54.64,1005,441,4.16,2.087,232,Moderate,30244.98
East,Mobile,Social Media,6,626.14,1.02,651.17,21.84,55.22,581,189,3.92,2.633,286,High,23937.09
West,Mobile,Search Ad,15,1182.5,0.787,736.5,26.37,42.16,1498,423,4.01,2.852,225,Moderate,23672.97
East,Mobile,Influencer,1,1838.5,0.997,671.45,22.63,43.45,1312,407,3.79,2.64,130,Low,19594.39
East,Mobile,Search Ad,7,596.29,0.981,588.79,26.12,44.97,1461,317,4.22,2.02,304,Moderate,22869.46
East,Mobile,Email,4,1183.95,0.951,609.44,29.54,32.3,1495,106,3.9,2.478,242,Moderate,21731.45
North,Mobile,Social Media,15,450.17,1.06,510.49,30.98,67.92,676,418,4.09,2.26,257,Very High,31920.03
West,Mobile,Influencer,5,1044.84,1.057,633.75,28.96,40.89,604,38,3.8,2.186,241,Moderate,23704.31
South,Mobile,Search Ad,18,356.47,1.035,575.63,26.79,76.95,1448,614,3.93,3.978,237,High,24674.02
North,Tablet,Search Ad,18,1131.65,1.083,595.18,39.74,55.0,699,424,4.04,3.054,257,High,24622.34
East,Mobile,Influencer,5,1485.49,0.918,697.14,39.72,65.55,1102,660,4.27,1.77,258,Very High,40000.0
North,Mobile,Influencer,3,947.0,0.964,545.41,26.29,47.04,680,795,3.95,2.012,326,Very High,24337.53
West,Mobile,Influencer,4,658.42,1.006,565.84,30.4,64.67,685,126,3.86,2.466,275,Moderate,28852.86
