ApplicationID,Age,Gender,MaritalStatus,Dependents,EducationLevel,State,ResidenceType,YearsAtCurrentResidence,EmploymentType,Employed,EmploymentLengthYears,AnnualIncome,IncomeVerified,CreditScore,CreditHistoryMonths,ExistingLoanAccounts,ExistingCreditCards,TotalMonthlyDebtPayment,DebtToIncomeRatio,RevolvingUtilization,PriorDefault,BankruptcyLast7Years,EnquiriesLast6Months,Approval
LHB-2405755,43,Female,Single,0,Master's,KY,Own (outright),1.0,Salaried-Private,1,2.0,66.8,1,703,244,0,2,715.0,0.128,0.215,0,0,0,Yes
LHB-2400460,44,Male,Married,2,High School,AL,Own (with mortgage),8.0,Salaried-Private,1,1.0,76.6,1,627,270,0,2,649.0,0.102,0.15,0,0,4,Yes
LHB-2406093,34,Male,Single,0,Bachelor's,MS,Rent,9.0,Contract,1,11.0,56.7,1,605,180,0,2,539.0,0.114,0.213,0,0,6,Yes
LHB-2402351,47,Female,Single,0,Master's,NC,Live with Family,8.0,Contract,1,8.0,112.9,1,596,249,1,7,1177.0,0.125,0.113,0,0,0,No
LHB-2401195,64,Female,Married,3,Associate Degree,KY,Own (with mortgage),3.0,Salaried-Government,1,11.0,49.9,1,619,356,0,1,707.0,0.17,0.206,0,0,0,Yes
LHB-2401754,53,Female,Divorced,0,Master's,AL,Rent,4.0,Salaried-Private,1,0.0,147.2,1,689,358,4,2,3931.0,0.301,0.485,0,0,1,Yes
LHB-2406283,26,Male,Married,3,Doctorate,MA,Own (with mortgage),7.0,Salaried-Government,1,3.0,118.8,1,661,68,0,2,904.0,0.091,0.054,0,0,5,Yes
LHB-2406038,30,Male,Married,2,Master's,WV,Live with Family,11.0,Salaried-Government,1,4.0,68.9,0,622,117,2,2,625.0,0.109,0.139,0,0,1,Yes
LHB-2407189,33,Male,Divorced,0,Associate Degree,DE,Rent,1.0,Salaried-Government,1,8.0,88.1,1,621,99,2,4,2321.0,0.316,0.15,0,0,1,Yes
LHB-2404306,43,Male,Single,0,Bachelor's,AL,Rent,3.0,Salaried-Private,1,4.0,66.5,1,672,191,2,1,1091.0,0.197,0.214,0,0,1,No
LHB-2405038,20,Female,Married,0,Bachelor's,FL,Rent,1.0,Student,0,0.0,12.0,1,561,33,5,1,2854.0,0.852,0.396,0,0,0,No
LHB-2402631,28,Female,Married,3,Associate Degree,SC,Rent,3.0,Salaried-Private,1,2.0,75.9,0,709,90,2,3,1897.0,0.3,0.536,0,0,1,Yes
LHB-2404139,44,Male,Single,0,Master's,AR,Rent,22.0,Salaried-Private,1,20.0,91.4,0,707,216,2,0,1177.0,0.155,0.6833,0,0,0,Yes
LHB-2401041,52,Male,Married,3,High School,AL,Own (with mortgage),5.0,Salaried-Private,1,4.0,60.5,1,597,303,2,2,1315.0,0.261,0.175,0,0,2,Yes
LHB-2405768,39,Male,Single,0,Associate Degree,TX,Live with Family,6.0,Salaried-Government,1,0.0,24.1,1,614,128,0,3,537.0,0.267,0.198,0,0,1,Yes
LHB-2406997,27,Male,Single,0,Bachelor's,MS,Rent,8.0,Salaried-Government,1,3.0,49.9,1,541,87,0,1,652.0,0.157,0.302,0,0,4,No
LHB-2403804,52,Female,Single,0,Bachelor's,AR,Rent,7.0,Salaried-Private,1,0.0,147.2,1,683,310,1,5,3038.0,0.232,0.457,0,0,0,Yes
LHB-2402905,40,Female,Single,0,Master's,NH,Own (outright),9.0,Self-Employed,1,2.0,105.5,1,608,183,0,1,711.0,0.081,0.537,0,0,4,Yes
LHB-2407989,36,Male,Single,0,High School,WV,Own (with mortgage),3.0,Salaried-Private,1,9.0,35.1,1,527,159,2,7,2651.0,0.852,0.526,0,0,0,No
LHB-2401739,41,Female,Single,1,Bachelor's,KY,Own (with mortgage),9.0,Self-Employed,1,9.0,112.6,0,682,246,1,2,1201.0,0.128,0.379,0,0,2,Yes
LHB-2404800,40,Male,Married,2,High School,GA,Own (with mortgage),3.0,Salaried-Government,1,8.0,19.9,1,637,237,1,3,1281.0,0.772,0.199,0,0,0,No
LHB-2405997,59,Female,Single,1,High School,SC,Own (with mortgage),4.0,Salaried-Private,1,1.0,52.7,1,615,394,0,4,1414.0,0.322,0.473,0,0,1,Yes
LHB-2401436,35,Female,Married,4,High School,MD,Rent,2.0,Salaried-Government,1,4.0,56.4,1,582,119,0,5,988.0,0.21,0.09,0,0,1,Yes
LHB-2404551,32,Female,Single,2,High School,GA,Own (with mortgage),2.0,Salaried-Private,1,10.0,62.4,1,565,149,0,2,822.0,0.164,0.28,0,0,0,No
LHB-2402004,23,Female,Single,0,High School,VA,Rent,2.0,Student,0,0.0,12.0,1,493,28,1,5,972.0,0.852,0.579,0,0,1,No
LHB-2400835,29,Male,Married,3,High School,GA,Own (with mortgage),1.0,Salaried-Government,1,7.0,12.0,0,620,101,1,5,869.0,0.242,0.649,0,0,1,No
LHB-2404221,47,Female,Married,3,Bachelor's,WV,Rent,15.0,Salaried-Government,1,5.0,97.7,1,705,280,0,2,950.0,0.117,0.168,0,0,2,Yes
LHB-2403836,47,Female,Married,0,Associate Degree,VA,Own (with mortgage),2.0,Salaried-Private,1,1.0,63.4,0,672,240,3,1,2308.0,0.437,0.119,0,0,1,No
LHB-2402302,18,Female,Married,6,High School,AL,Own (with mortgage),8.0,Student,0,0.0,12.0,1,644,40,1,3,966.0,0.852,0.249,0,0,0,No
LHB-2406310,47,Female,Married,0,Bachelor's,MS,Live with Family,6.0,Salaried-Private,1,2.0,88.8,0,646,291,5,4,4202.0,0.568,0.6833,0,0,3,No
LHB-2404770,42,Female,Married,4,High School,DC,Own (with mortgage),1.0,Salaried-Private,1,0.0,107.7,0,665,207,3,2,1769.0,0.197,0.314,0,0,0,Yes
LHB-2404964,32,Male,Single,1,Master's,HI,Rent,4.0,Salaried-Private,1,1.0,108.7,1,717,161,0,1,520.0,0.057,0.381,0,0,2,Yes
LHB-2401634,43,Male,Married,3,High School,DC,Own (outright),8.0,Self-Employed,1,2.0,86.9,1,546,230,2,2,1223.0,0.169,0.178,0,0,1,Yes
LHB-2402654,40,Male,Single,0,Bachelor's,AL,Own (with mortgage),8.0,Salaried-Private,1,0.0,67.7,1,618,221,0,6,1125.0,0.199,0.385,1,0,3,No
LHB-2403414,27,Male,Single,0,Bachelor's,DC,Own (outright),1.0,Salaried-Government,1,5.0,60.8,1,578,75,2,1,1487.0,0.242,0.232,1,0,3,No
LHB-2405840,33,Female,Married,6,Bachelor's,VA,Own (with mortgage),3.0,Salaried-Private,1,1.0,39.3,1,546,99,1,4,1385.0,0.423,0.379,0,0,8,No
LHB-2404875,35,Female,Divorced,3,Bachelor's,IA,Rent,7.0,Salaried-Private,1,6.0,73.0,1,672,115,0,0,642.0,0.106,0.51,0,0,2,Yes
LHB-2404711,33,Female,Married,1,Bachelor's,VA,Own (with mortgage),1.0,Salaried-Private,1,5.0,79.4,1,638,132,2,3,2068.0,0.313,0.6833,0,0,1,Yes
LHB-2405267,18,Female,Single,1,Bachelor's,MD,Own (with mortgage),4.0,Salaried-Private,1,0.0,34.5,1,577,13,0,1,288.0,0.242,0.125,0,0,4,No
LHB-2400610,28,Female,Divorced,3,Associate Degree,KS,Rent,1.0,Unemployed,0,0.0,12.0,1,545,118,4,3,1401.0,0.852,0.6833,0,0,3,No
LHB-2401179,45,Female,Married,0,Associate Degree,MO,Rent,12.0,Self-Employed,1,13.0,59.4,1,550,269,1,0,868.0,0.175,0.319,0,0,0,No
LHB-2400100,35,Male,Married,2,High School,WV,Rent,9.0,Salaried-Private,1,13.0,44.9,1,552,154,5,2,2832.0,0.757,0.163,1,0,3,No
LHB-2404484,41,Female,Single,0,Associate Degree,FL,Rent,2.0,Salaried-Private,1,1.0,66.8,1,781,230,0,4,936.0,0.168,0.246,0,0,0,Yes
LHB-2406595,34,Female,Married,5,Bachelor's,WI,Own (with mortgage),6.0,Salaried-Government,1,9.0,62.8,1,629,97,1,1,1256.0,0.24,0.127,0,0,3,Yes
LHB-2405164,29,Male,Single,1,Bachelor's,MS,Own (with mortgage),5.0,Salaried-Private,1,7.0,72.8,1,609,75,3,1,1293.0,0.213,0.543,0,0,0,Yes
LHB-2405318,18,Male,Single,0,High School,PA,Rent,0.0,Student,0,0.0,12.0,1,591,0,3,0,1282.0,0.852,0.503,0,0,0,No
LHB-2403274,18,Female,Single,0,Bachelor's,TN,Own (with mortgage),0.0,Unemployed,0,0.0,12.0,1,565,35,2,5,2201.0,0.852,0.184,0,0,0,No
LHB-2404291,21,Male,Widowed,0,Associate Degree,MD,Own (with mortgage),3.0,Salaried-Private,1,1.0,15.3,0,651,3,1,1,590.0,0.463,0.09,0,0,0,No
LHB-2407315,40,Male,Divorced,0,Doctorate,FL,Own (with mortgage),4.0,Salaried-Government,1,2.0,141.7,1,610,183,1,2,2360.0,0.2,0.061,0,0,0,Yes
LHB-2401741,58,Male,Single,0,Bachelor's,PA,Rent,2.0,Salaried-Government,1,2.0,79.2,0,627,388,5,0,2597.0,0.393,0.323,0,0,1,No
LHB-2404716,50,Male,Married,0,Bachelor's,AR,Own (with mortgage),11.0,Contract,1,0.0,62.4,1,804,272,2,3,6269.0,0.205,0.258,0,0,0,Yes
LHB-2404508,29,Female,Married,2,Bachelor's,VA,Rent,5.0,Salaried-Private,1,4.0,53.6,1,629,99,3,2,2503.0,0.56,0.614,0,0,0,No
LHB-2405436,33,Female,Single,0,Bachelor's,WV,Rent,9.0,Salaried-Private,1,11.0,74.4,1,634,155,2,3,1733.0,0.28,0.404,0,0,0,Yes
LHB-2406506,33,Female,Married,2,Bachelor's,MS,Own (outright),3.0,Salaried-Private,1,1.0,82.5,1,673,140,0,1,660.0,0.096,0.566,0,0,6,Yes
LHB-2406865,46,Male,Married,3,Bachelor's,WV,Own (with mortgage),6.0,Salaried-Private,1,1.0,84.2,1,667,269,1,1,1073.0,0.153,0.523,0,0,1,No
LHB-2403253,52,Female,Divorced,0,Associate Degree,MS,Rent,3.0,Salaried-Government,1,1.0,70.5,1,680,290,0,1,600.0,0.102,0.6833,0,0,0,Yes
LHB-2405295,58,Male,Single,0,Bachelor's,SD,Own (with mortgage),4.0,Salaried-Private,1,4.0,75.2,1,494,353,1,2,901.0,0.144,0.526,0,1,0,No
LHB-2406339,40,Female,Married,3,Master's,PA,Rent,3.0,Unemployed,0,0.0,25.8,1,569,195,0,3,562.0,0.261,0.296,0,0,0,No
LHB-2401172,39,Female,Single,0,Master's,GA,Own (outright),6.0,Salaried-Private,1,3.0,59.9,1,556,182,1,4,1332.0,0.267,0.328,0,0,0,No
LHB-2403816,39,Male,Divorced,2,Bachelor's,MS,Own (outright),4.0,Salaried-Private,1,4.0,85.5,1,651,188,3,1,2611.0,0.366,0.2,0,0,1,Yes
LHB-2404610,41,Male,Widowed,3,High School,TN,Live with Family,6.0,Salaried-Government,1,0.0,33.5,1,619,208,2,1,1132.0,0.405,0.399,0,0,3,No
LHB-2405792,35,Others,Single,0,Bachelor's,KY,Own (with mortgage),15.0,Salaried-Private,1,11.0,59.9,0,656,161,0,2,949.0,0.19,0.376,0,0,3,Yes
LHB-2401106,24,Male,Married,2,High School,NC,Own (with mortgage),2.0,Salaried-Private,1,0.0,29.6,1,467,81,1,4,992.0,0.402,0.225,1,0,0,No
LHB-2402568,18,Female,Single,0,Bachelor's,TN,Own (outright),8.0,Salaried-Private,1,1.0,30.1,1,641,41,1,4,815.0,0.325,0.038,0,0,1,Yes
LHB-2400948,45,Female,Single,0,Bachelor's,VA,Live with Family,4.0,Salaried-Private,1,0.0,67.3,1,562,207,0,2,583.0,0.104,0.181,0,0,2,No
LHB-2406048,50,Male,Single,1,High School,VA,Own (with mortgage),5.0,Salaried-Government,1,11.0,43.9,1,681,262,1,4,1554.0,0.425,0.552,0,0,1,Yes
LHB-2406154,61,Female,Married,1,Master's,TN,Rent,8.0,Self-Employed,1,12.0,87.4,0,708,420,0,3,834.0,0.115,0.329,0,0,2,Yes
LHB-2404380,63,Male,Single,0,Associate Degree,KY,Live with Family,8.0,Self-Employed,1,7.0,100.1,0,664,450,0,1,1112.0,0.133,0.554,0,0,1,Yes
LHB-2403685,43,Female,Single,1,Bachelor's,MD,Own (with mortgage),4.0,Salaried-Private,1,5.0,69.2,1,635,248,0,1,492.0,0.085,0.036,0,0,0,Yes
LHB-2404339,37,Male,Married,3,Bachelor's,TN,Own (with mortgage),1.0,Self-Employed,1,5.0,123.4,1,626,208,1,1,2010.0,0.195,0.051,0,0,0,Yes
LHB-2406585,36,Female,Single,0,Master's,KY,Live with Family,7.0,Self-Employed,1,8.0,147.2,0,582,178,1,0,827.0,0.049,0.156,0,0,0,No
LHB-2405088,23,Male,Single,0,Master's,NC,Live with Family,3.0,Salaried-Private,1,1.0,74.4,0,664,55,0,4,1049.0,0.169,0.299,0,0,0,Yes
LHB-2405560,59,Female,Divorced,1,Bachelor's,AL,Own (with mortgage),5.0,Salaried-Private,1,1.0,109.5,1,712,330,2,4,2445.0,0.268,0.117,0,0,2,Yes
LHB-2403564,57,Female,Married,3,Bachelor's,GA,Own (with mortgage),4.0,Salaried-Private,1,2.0,110.8,1,623,333,4,3,2703.0,0.293,0.127,0,0,1,Yes
LHB-2402742,30,Female,Divorced,2,Associate Degree,FL,Live with Family,6.0,Salaried-Government,1,3.0,20.0,1,659,70,1,4,1177.0,0.706,0.039,0,0,0,No
LHB-2400830,45,Female,Single,0,Associate Degree,IL,Own (outright),2.0,Unemployed,0,0.0,12.5,1,643,248,2,2,1208.0,0.852,0.607,0,0,3,No
LHB-2404595,50,Female,Married,3,Associate Degree,CO,Rent,10.0,Salaried-Private,1,3.0,62.7,1,632,305,0,1,786.0,0.15,0.045,0,0,2,No
LHB-2401229,47,Female,Divorced,0,Associate Degree,NC,Live with Family,11.0,Salaried-Government,1,2.0,62.9,1,623,274,1,2,613.0,0.242,0.302,1,0,1,No
LHB-2404016,58,Male,Married,0,Master's,NJ,Rent,9.0,Self-Employed,1,12.0,147.2,0,837,346,1,3,1811.0,0.114,0.13,0,0,0,Yes
LHB-2400210,51,Female,Single,0,Doctorate,WV,Own (with mortgage),11.0,Unemployed,0,0.0,12.0,1,631,337,5,2,3353.0,0.852,0.6833,0,0,5,No
LHB-2402494,53,Others,Single,0,Bachelor's,PA,Live with Family,2.0,Salaried-Private,1,16.0,79.4,1,706,313,2,3,1582.0,0.239,0.098,0,0,2,Yes
LHB-2405763,63,Female,Single,0,Bachelor's,ID,Rent,16.0,Retired,0,0.0,62.4,1,551,392,1,0,1067.0,0.231,0.362,1,0,0,No
LHB-2401350,37,Male,Single,0,Master's,DC,Live with Family,12.0,Salaried-Private,1,3.0,64.0,1,675,155,1,1,1526.0,0.286,0.323,0,0,2,Yes
LHB-2405137,46,Male,Widowed,1,High School,KY,Rent,2.0,Salaried-Government,1,13.0,58.7,1,671,242,0,1,867.0,0.177,0.364,0,0,0,No
LHB-2405319,43,Male,Married,0,Master's,SD,Own (with mortgage),1.0,Salaried-Private,1,0.0,118.0,1,668,238,2,0,1326.0,0.135,0.567,0,0,1,Yes
LHB-2405433,52,Female,Married,2,Doctorate,MD,Own (outright),5.0,Salaried-Government,1,5.0,132.1,1,703,329,1,3,1593.0,0.145,0.101,0,0,1,Yes
LHB-2401521,18,Male,Married,1,Master's,MI,Own (with mortgage),6.0,Student,0,0.0,15.5,1,609,0,1,5,1396.0,0.852,0.6833,0,0,6,No
LHB-2404836,18,Male,Married,2,Doctorate,MT,Own (with mortgage),3.0,Student,0,0.0,12.0,1,454,0,2,4,1406.0,0.852,0.512,0,0,3,No
LHB-2402306,63,Male,Married,2,Master's,AK,Rent,11.0,Retired,0,0.0,66.6,1,709,405,0,4,1209.0,0.218,0.064,0,0,2,Yes
LHB-2407893,33,Female,Single,0,High School,TX,Own (outright),3.0,Salaried-Government,1,2.0,45.6,1,677,156,3,1,965.0,0.254,0.191,0,0,1,Yes
LHB-2402711,48,Female,Single,1,Bachelor's,PA,Own (with mortgage),4.0,Salaried-Private,1,1.0,113.7,1,676,267,0,3,1012.0,0.107,0.191,0,0,0,Yes
LHB-2401682,34,Female,Divorced,0,High School,PA,Own (with mortgage),2.0,Salaried-Private,1,5.0,43.6,1,569,115,1,2,837.0,0.23,0.117,0,0,0,Yes
LHB-2403626,41,Male,Single,3,Master's,MD,Own (with mortgage),2.0,Salaried-Private,1,3.0,93.7,1,658,212,0,3,344.0,0.044,0.181,0,0,2,Yes
LHB-2400738,21,Female,Married,3,Master's,TX,Own (with mortgage),6.0,Student,0,0.0,12.5,1,599,43,3,0,1548.0,0.852,0.604,0,0,0,No
LHB-2402555,35,Male,Single,1,Master's,VT,Rent,10.0,Unemployed,0,0.0,17.2,1,638,149,0,2,211.0,0.147,0.454,0,0,0,No
LHB-2403369,41,Male,Single,0,High School,KY,Own (with mortgage),12.0,Salaried-Private,1,2.0,52.7,1,539,178,2,5,1626.0,0.37,0.385,0,0,2,No
LHB-2402780,58,Male,Single,0,Bachelor's,TX,Rent,2.0,Salaried-Private,1,0.0,92.4,1,656,357,3,0,2728.0,0.354,0.25,0,0,2,Yes
LHB-2402556,18,Male,Married,3,Master's,MS,Own (with mortgage),1.0,Student,0,0.0,14.8,1,572,0,2,0,945.0,0.766,0.196,0,0,2,No
LHB-2401442,23,Female,Single,0,Associate Degree,AL,Rent,8.0,Student,0,0.0,12.0,1,623,40,0,2,127.0,0.127,0.457,0,0,3,No
LHB-2403202,36,Female,Single,0,Associate Degree,MS,Rent,4.0,Salaried-Private,1,2.0,40.3,1,631,177,5,4,2841.0,0.846,0.621,1,0,1,No
LHB-2400094,20,Male,Married,0,Master's,MA,Own (with mortgage),13.0,Salaried-Private,1,1.0,43.2,1,443,22,5,1,1582.0,0.439,0.0,1,0,6,No
LHB-2406829,23,Female,Married,1,Bachelor's,SD,Rent,2.0,Student,0,0.0,12.0,1,556,41,2,6,1922.0,0.852,0.6833,0,0,2,No
LHB-2403164,32,Male,Married,0,High School,MI,Live with Family,3.0,Self-Employed,1,1.0,59.5,1,606,70,1,3,932.0,0.188,0.323,0,0,1,Yes
LHB-2406575,39,Male,Single,0,High School,DC,Own (outright),2.0,Salaried-Private,1,1.0,56.6,1,684,211,2,3,1569.0,0.333,0.303,0,0,2,Yes
LHB-2407232,27,Female,Single,0,Bachelor's,AL,Own (with mortgage),5.0,Salaried-Private,1,1.0,38.9,1,585,57,3,1,2049.0,0.632,0.6833,0,0,0,No
LHB-2406797,45,Male,Married,2,Bachelor's,MS,Rent,2.0,Salaried-Private,1,3.0,62.4,0,639,243,1,1,1236.0,0.196,0.151,0,0,1,Yes
LHB-2403615,50,Female,Married,2,High School,IL,Rent,14.0,Salaried-Private,1,0.0,31.4,1,619,311,1,1,618.0,0.236,0.286,0,0,0,No
LHB-2405493,33,Male,Divorced,1,High School,MN,Rent,2.0,Salaried-Private,1,3.0,26.9,1,586,164,3,0,2083.0,0.852,0.013,0,0,1,No
LHB-2407371,47,Female,Single,0,Master's,MD,Rent,7.0,Self-Employed,1,0.0,92.8,1,756,267,0,3,843.0,0.109,0.168,0,0,2,Yes
LHB-2405611,32,Male,Single,0,Associate Degree,FL,Own (outright),1.0,Salaried-Private,1,3.0,88.4,0,729,120,1,2,1138.0,0.154,0.212,0,0,0,Yes
LHB-2401175,21,Female,Married,3,Bachelor's,VA,Own (with mortgage),7.0,Salaried-Private,1,1.0,73.1,1,661,57,0,4,1045.0,0.172,0.355,0,0,0,Yes
LHB-2406730,51,Female,Single,0,Bachelor's,MD,Rent,3.0,Salaried-Government,1,8.0,64.7,1,659,326,2,1,1634.0,0.303,0.427,0,0,0,Yes
LHB-2400415,42,Male,Single,0,Bachelor's,VA,Rent,7.0,Self-Employed,1,2.0,107.9,0,626,159,2,2,2102.0,0.234,0.54,0,0,1,Yes
LHB-2401781,41,Female,Married,4,Bachelor's,TX,Own (with mortgage),10.0,Salaried-Private,1,3.0,71.5,1,626,218,1,3,1320.0,0.222,0.122,0,0,1,No
LHB-2403858,35,Male,Single,0,Bachelor's,DE,Own (with mortgage),1.0,Salaried-Private,1,4.0,104.1,1,664,158,3,2,2091.0,0.241,0.424,0,0,1,Yes
LHB-2400934,44,Female,Single,0,Bachelor's,TX,Live with Family,3.0,Self-Employed,1,2.0,68.3,0,598,207,2,4,2051.0,0.36,0.261,0,0,0,No
LHB-2404213,38,Female,Married,5,Master's,FL,Live with Family,4.0,Unemployed,0,0.0,44.3,1,765,156,0,2,807.0,0.219,0.646,0,0,0,Yes
LHB-2405016,29,Male,Single,0,Master's,RI,Live with Family,8.0,Salaried-Private,1,0.0,131.8,1,634,145,0,3,2168.0,0.197,0.6833,0,0,1,Yes
LHB-2407270,47,Male,Married,3,Doctorate,TX,Rent,11.0,Salaried-Private,1,8.0,90.1,1,634,316,1,2,2050.0,0.273,0.272,1,0,2,No
LHB-2404951,30,Female,Single,0,Doctorate,SC,Rent,1.0,Self-Employed,1,1.0,147.2,1,658,120,1,3,1811.0,0.132,0.082,0,0,0,Yes
LHB-2406636,36,Female,Married,0,Associate Degree,VA,Own (with mortgage),13.0,Salaried-Government,1,1.0,69.5,1,578,150,2,1,2072.0,0.358,0.286,0,0,1,No
LHB-2401320,31,Female,Single,0,Bachelor's,SC,Own (with mortgage),2.0,Salaried-Private,1,1.0,42.5,1,592,123,0,2,510.0,0.144,0.464,0,0,1,No
LHB-2402741,48,Female,Single,0,Doctorate,GA,Rent,4.0,Unemployed,0,0.0,33.2,1,671,260,2,3,1718.0,0.621,0.386,0,0,2,No
LHB-2405866,37,Male,Single,1,Bachelor's,NV,Own (with mortgage),2.0,Salaried-Private,1,0.0,50.1,1,545,149,2,4,1491.0,0.357,0.0,0,0,1,No
LHB-2403777,46,Female,Divorced,3,Bachelor's,NC,Rent,4.0,Salaried-Government,1,15.0,51.2,1,449,235,0,1,315.0,0.074,0.514,1,0,0,No
LHB-2407508,31,Female,Single,0,Bachelor's,WA,Rent,1.0,Salaried-Private,1,2.0,54.0,1,584,105,4,3,2493.0,0.554,0.6833,0,0,1,No
LHB-2403874,25,Female,Single,3,Associate Degree,TN,Own (with mortgage),0.0,Contract,1,3.0,29.8,1,573,51,0,4,640.0,0.258,0.08,0,0,3,No
LHB-2405238,31,Female,Single,0,High School,TN,Rent,19.0,Contract,1,2.0,41.1,1,631,134,1,4,1018.0,0.297,0.403,0,0,4,No
LHB-2403399,34,Male,Married,4,Associate Degree,MD,Rent,10.0,Salaried-Government,1,3.0,59.5,1,687,167,0,3,847.0,0.171,0.372,0,0,0,Yes
LHB-2406239,34,Male,Married,1,Bachelor's,SD,Own (with mortgage),2.0,Self-Employed,1,5.0,38.8,1,667,124,0,5,809.0,0.25,0.344,0,0,1,Yes
LHB-2403860,25,Female,Single,0,Associate Degree,WV,Rent,7.0,Self-Employed,1,0.0,29.8,1,600,73,3,0,1150.0,0.463,0.176,0,0,0,No
LHB-2406627,37,Male,Married,3,Master's,GA,Own (outright),5.0,Contract,1,2.0,60.3,1,602,199,3,4,2177.0,0.433,0.55,0,0,0,Yes
LHB-2400374,47,Female,Single,0,Bachelor's,IN,Own (with mortgage),2.0,Self-Employed,1,1.0,56.5,1,731,261,1,2,993.0,0.211,0.197,0,0,3,Yes
LHB-2405341,42,Female,Single,0,Associate Degree,KY,Own (outright),10.0,Salaried-Private,1,5.0,44.5,1,625,229,1,2,928.0,0.25,0.622,0,0,1,Yes
LHB-2406616,41,Male,Married,2,Bachelor's,MS,Live with Family,6.0,Contract,1,2.0,78.9,1,770,190,0,1,880.0,0.134,0.085,0,0,1,Yes
LHB-2404760,42,Male,Divorced,0,Bachelor's,FL,Own (with mortgage),3.0,Salaried-Private,1,5.0,49.9,1,600,243,3,1,2008.0,0.483,0.32,0,0,1,Yes
LHB-2400112,33,Female,Married,4,High School,FL,Own (outright),1.0,Unemployed,0,0.0,12.0,1,548,141,4,0,852.0,0.852,0.6833,0,0,0,No
